posa4.txt,posd5.txt,vela5.txt,posd2.txt,trq5.txt,trq1.txt,trq4.txt,vela4.txt,vela3.txt,posa1.txt,posd4.txt,trq2.txt,trq3.txt,vela1.txt,posd1.txt,posa3.txt,posa2.txt,vela2.txt,posd3.txt,posa5.txt
2.21239e-05,2.21239e-05,0.00147493,0.0,-0.828002,-0.0,-0.300543,0.00147493,-0.0010472,-0.0,0.0,-0.0,0.3618,-0.0,0.0,-1.5708e-05,-0.0,-0.0,-1.5708e-05,2.21239e-05
4.42478e-05,2.22611e-05,0.00147493,1.24064e-06,-0.814086,-0.0,-0.278817,0.00147493,-0.0010472,-0.0,2.23316e-06,-0.010452,0.0,-0.0,3.72193e-06,-6.28319e-05,1.00692e-05,-0.0,-1.67005e-05,4.42478e-05
0.000110619,2.32133e-05,-0.0,9.8506e-06,-0.80017,-0.0,-0.257091,0.00442478,-0.0125664,-0.0,1.77311e-05,-0.031356,-0.03685,-0.0,2.95518e-05,-0.000219911,4.02768e-05,0.00201384,-2.35883e-05,6.63717e-05
0.000154867,2.57731e-05,0.00147493,3.29952e-05,-0.775817,-0.005226,-0.242607,0.0058997,-0.0188496,-0.0,5.93913e-05,-0.083616,-0.11055,-0.0,9.89855e-05,-0.000455531,8.05537e-05,0.00402768,-4.21036e-05,6.63717e-05
0.000199115,3.07084e-05,0.00147493,7.76192e-05,-0.754943,-0.0,-0.213639,0.00442478,-0.0345575,-0.0,0.000139715,0.067938,-0.17755,-0.0,0.000232858,-0.000895354,0.00012083,0.00402768,-7.78021e-05,8.84956e-05
0.000243363,3.87633e-05,0.00147493,0.000150449,-0.73059,-0.0,-0.191913,0.00147493,-0.0659734,-0.0,0.000270809,0.125424,-0.23785,-0.0,0.000451348,-0.00163363,0.0001309,0.00268512,-0.000136065,0.000110619
0.000287611,5.06577e-05,-0.0,0.000257996,-0.709716,-0.0,-0.18105,0.00442478,-0.0764454,-0.0,0.000464392,0.167232,-0.2747,-0.0,0.000773987,-0.00251327,0.0001309,-0.0,-0.000222101,0.000132743
0.000353982,6.70881e-05,0.00147493,0.000406556,-0.6958,-0.0,-0.170187,0.0058997,-0.084823,-0.0,0.0007318,0.229944,-0.39865,-0.0,0.00121967,-0.0033615,0.0001309,-0.0,-0.000340946,0.000132743
0.000442478,8.87275e-05,0.00147493,0.000602214,-0.681884,-0.0,-0.159324,0.0058997,-0.0890118,-0.0,0.00108399,0.271752,-0.41875,-0.0,0.00180664,-0.00428827,0.000140969,-0.0,-0.00049747,0.000154867
0.000619469,0.000116226,0.00147493,0.000850848,-0.667968,0.067938,-0.152082,0.0147493,-0.0921534,1.00692e-05,0.00153153,0.308334,-0.42545,0.00067128,0.00255254,-0.00524646,0.000151038,0.00067128,-0.000696373,0.000176991
0.000884956,0.00015021,-0.0,0.00115812,-0.650573,0.219492,-0.141219,0.019174,-0.0973894,3.02076e-05,0.00208463,0.344916,-0.5092,0.00067128,0.00347437,-0.00625177,0.000161107,0.00067128,-0.00094219,0.000199115
0.00130531,0.000191284,0.00147493,0.00152951,-0.640136,0.41808,-0.097767,0.0353982,-0.113097,7.04845e-05,0.00275312,0.39195,-0.5159,0.00268512,0.00458853,-0.00746128,0.000171177,0.00067128,-0.00123929,0.000199115
0.00201327,0.000240031,0.00147493,0.00197027,-0.636657,0.62712,-0.010863,0.0619469,-0.128805,0.000140969,0.00354648,0.465114,-0.59965,0.00469896,0.0059108,-0.00876504,0.000181246,0.00201384,-0.00159189,0.000221239
0.0025885,0.00029701,-0.0,0.00248545,-0.622741,0.88842,0.061557,0.0663717,-0.131947,0.000302076,0.00447381,0.49647,-0.7504,0.0107405,0.00745636,-0.0100531,0.000191315,0.00067128,-0.00200403,0.000243363
0.00309734,0.000362758,0.00147493,0.00307993,-0.601867,1.0243,0.105009,0.0530973,-0.125664,0.000614222,0.00554388,0.553956,-0.9514,0.0241661,0.0092398,-0.0112312,0.000211453,0.00067128,-0.00247961,0.000243363
0.00345133,0.000437793,0.00147493,0.00375838,-0.577514,1.26992,0.112251,0.0412979,-0.107861,0.00106734,0.00676508,0.595764,-1.0653,0.0402768,0.0112751,-0.0122051,0.000231592,0.00201384,-0.00302235,0.000265487
0.00365044,0.000522608,-0.0,0.00452526,-0.570556,1.33263,0.086904,0.0235988,-0.0827286,0.00165135,0.00814547,0.674154,-1.28305,0.0523599,0.0135758,-0.0128648,0.000261799,0.00201384,-0.00363585,0.000287611
0.00369469,0.000617678,0.00147493,0.00538486,-0.55664,1.48941,0.068799,0.0103245,-0.0324631,0.00242668,0.00969275,0.75777,-1.608,0.0684706,0.0161546,-0.0130376,0.000302076,0.00402768,-0.00432351,0.000287611
0.00369469,0.000723456,0.00147493,0.00634128,-0.542724,1.56257,0.061557,-0.0,-0.00314159,0.00332284,0.0114143,0.815256,-1.809,0.0865952,0.0190238,-0.0130219,0.000352422,0.00469896,-0.00508863,0.000309734
0.00371681,0.000840373,0.00147493,0.00739842,-0.532287,1.61483,0.054315,-0.0,0.00314159,0.00445059,0.0133172,0.88842,-1.83915,0.105391,0.0221953,-0.0130062,0.000453114,0.00805537,-0.00593433,0.000331858
0.00378319,0.000968842,-0.0,0.00856,-0.514892,1.75071,0.050694,0.0058997,0.0,0.00584014,0.015408,0.904098,-1.85255,0.126872,0.02568,-0.0129905,0.000644429,0.0147682,-0.00686357,0.000331858
0.0038938,0.00110925,0.00147493,0.00982957,-0.504455,1.86568,0.050694,0.00884956,0.0010472,0.0073908,0.0176932,0.857064,-1.8961,0.153052,0.0294887,-0.0129905,0.000976713,0.0268512,-0.00787921,0.000353982
0.00400442,0.00126198,0.00147493,0.0112105,-0.497497,1.79252,0.068799,0.0103245,0.0,0.00942478,0.0201789,0.857064,-1.91285,0.177218,0.0336314,-0.0129905,0.00136941,0.0349066,-0.00898392,0.000376106
0.00415929,0.00142737,-0.0,0.0127059,-0.48706,2.00678,0.097767,0.0132743,0.0,0.0113178,0.0228707,0.81003,-1.94635,0.197356,0.0381178,-0.0129905,0.00175204,0.0389343,-0.0101802,0.00039823
0.00446903,0.00160576,0.00147493,0.0143189,-0.469665,2.09563,0.159324,0.0221239,0.0,0.0139358,0.025774,0.96681,-1.9966,0.230249,0.0429567,-0.0129905,0.00215481,0.0402768,-0.0114706,0.000420354
0.00502212,0.00179747,0.00147493,0.0160522,-0.459228,2.17924,0.191913,0.0442478,0.0,0.0166041,0.028894,0.951132,-2.0636,0.24636,0.0481567,-0.0129905,0.00259786,0.038263,-0.0128573,0.000420354
0.00595133,0.00200278,0.00147493,0.0179086,-0.45227,2.26286,0.228123,0.0766962,0.0,0.0193832,0.0322355,1.07656,-2.1172,0.279924,0.0537259,-0.0129905,0.00310132,0.0490035,-0.0143423,0.000442478
0.00710177,0.00222197,-0.0,0.0198905,-0.434875,2.41964,0.260712,0.10767,0.0,0.0227161,0.035803,1.17585,-2.1507,0.310132,0.0596716,-0.0130062,0.00366519,0.0570588,-0.0159278,0.000464602
0.00831858,0.00245531,0.00147493,0.0220003,-0.427917,2.43532,0.307785,0.123894,-0.0010472,0.0262605,0.0396005,1.54167,-2.18085,0.338997,0.0660009,-0.0130219,0.00417872,0.0510173,-0.0176156,0.000464602
