integralf_1.txt,wrench_mz.txt,integralf_3.txt,proportionalf_3.txt,proportionalf_5.txt,proportionalf_1.txt,wrench_fy.txt,wrench_my.txt,integralf_5.txt,integralf_4.txt,wrench_fz.txt,proportionalf_4.txt,wrench_mx.txt,wrench_fx.txt,integralf_2.txt,proportionalf_2.txt,error_pos_4.txt,trq2.txt,posa2.txt,trq5.txt,veld1.txt,posa3.txt,error_pos_1.txt,error_pos_3.txt,accd1.txt,posd1.txt,veld4.txt,error_pos_5.txt,veld5.txt,posa5.txt,vela4.txt,vela3.txt,vela1.txt,accd3.txt,error_vel_2.txt,trq1.txt,posd4.txt,error_vel_3.txt,posd5.txt,veld3.txt,accd4.txt,error_vel_1.txt,error_vel_5.txt,vela5.txt,error_pos_2.txt,trq3.txt,error_vel_4.txt,posa1.txt,veld2.txt,posa4.txt,posd3.txt,accd5.txt,vela2.txt,trq4.txt,posd2.txt,accd2.txt
,,,,,,,,,,,,,,,,0.0,-0.0,-0.0,-1.09588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.21239e-05,0.0,4.42478e-05,-0.0,0.0,-0.0,0.0,0.0,-0.005226,0.0,0.0,2.21239e-05,0.0,0.0,0.0,-0.00147493,0.00147493,0.0,-0.03015,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.018105,0.0,0.0
,,,,,,,,,,,,,,,,2.17931e-07,-0.05226,1.00692e-05,-1.06805,6.99614e-05,-4.71239e-05,2.33497e-07,4.68593e-05,0.0139572,2.33497e-07,6.52973e-05,-2.21067e-05,5.15839e-06,4.42478e-05,-0.0,-0.00314159,-0.0,-0.0158182,-0.000638632,-0.005226,2.17931e-07,0.0030623,2.21411e-05,-7.92896e-05,0.0130267,6.99614e-05,5.15839e-06,-0.0,-9.96024e-06,-0.2345,6.52973e-05,-0.0,3.26486e-05,-0.0,-2.6463e-07,0.00102909,0.00067128,0.021726,1.08965e-07,0.00651336
,,,,,,,,,,,,,,,,-2.0387e-05,-0.005226,4.02768e-05,-1.03674,0.000278445,-0.000204204,1.86097e-06,0.000202094,0.0277045,1.86097e-06,0.000259882,-4.41106e-05,2.05302e-05,6.63717e-05,0.00147493,-0.00314159,-0.0,-0.0313985,-0.00255518,-0.005226,1.7369e-06,0.00282602,2.22611e-05,-0.00031557,0.0258576,0.000278445,-0.0014544,0.00147493,-3.94084e-05,-0.3417,-0.00121504,-0.0,0.000129941,2.21239e-05,-2.10909e-06,0.00204271,0.00268512,0.043452,8.68451e-07,0.0129288
,,,,,,,,,,,,,,,,-3.84078e-05,0.099294,7.04845e-05,-1.00543,0.000623356,-0.000549779,6.25715e-06,0.000542687,0.041243,6.25715e-06,0.000581799,-6.59103e-05,4.59612e-05,8.84956e-05,0.00147493,-0.0188496,-0.0,-0.0467421,-0.00239422,-0.005226,5.84e-06,0.0181431,2.25852e-05,-0.00070647,0.0384935,0.000623356,-0.00142896,0.00147493,-6.75644e-05,-0.40535,-0.000893127,-0.0,0.000290899,4.42478e-05,-7.09143e-06,0.00304093,0.00268512,0.050694,2.92e-06,0.0192467
,,,,,,,,,,,,,,,,-7.47047e-05,0.135876,0.000100692,-0.991515,0.00110261,-0.00125664,1.47759e-05,0.00123989,0.0545737,1.47759e-05,0.0010291,-6.52822e-05,8.12977e-05,8.84956e-05,0.00442478,-0.0345575,-0.0,-0.0618503,-0.00217057,-0.005226,1.37908e-05,0.0333079,2.32133e-05,-0.00124963,0.0509355,0.00110261,-0.00139363,0.00147493,-9.37967e-05,-0.35175,-0.00339567,-0.0,0.000514552,8.84956e-05,-1.6746e-05,0.00402383,0.00268512,0.050694,6.89542e-06,0.0254677
,,,,,,,,,,,,,,,,-8.37858e-05,0.193362,0.00012083,-0.967162,0.00171414,-0.00215199,2.87503e-05,0.00211941,0.0676978,2.87503e-05,0.00159987,-8.63758e-05,0.000126387,0.000110619,0.00147493,-0.0701622,-0.0,-0.0767241,-0.00188519,-0.0,2.68336e-05,0.0682195,2.42437e-05,-0.00194269,0.0631846,0.00171414,0.000126387,-0.0,-0.000107414,-0.36515,0.00012494,-0.0,0.000799933,0.000110619,-3.25837e-05,0.00499149,0.00268512,0.054315,1.34168e-05,0.0315923
,,,,,,,,,,,,,,,,-8.65501e-05,0.229944,0.00012083,-0.93933,0.00245588,-0.00325155,4.94928e-05,0.00319546,0.0806161,4.94928e-05,0.00229216,-0.00010697,0.000181077,0.000132743,0.00147493,-0.111003,-0.0,-0.0913649,0.00114608,-0.0,4.61933e-05,0.10822,2.57731e-05,-0.00278333,0.0752417,0.00245588,-0.00129385,0.00147493,-9.77339e-05,-0.45895,0.00081723,-0.0,0.00114608,0.000132743,-5.60918e-05,0.00594398,-0.0,0.047073,2.30966e-05,0.0376208
,,,,,,,,,,,,,,,,-0.000103916,0.276978,0.0001309,-0.921935,0.00332578,-0.00461814,7.82951e-05,0.00452941,0.0933298,7.82951e-05,0.00310406,-0.000126971,0.000245216,0.000154867,0.00442478,-0.125664,-0.0,-0.105774,0.000880751,-0.0,7.30755e-05,0.121894,2.78967e-05,-0.00376922,0.0871078,0.00332578,-0.00122971,0.00147493,-9.4362e-05,-0.53935,-0.00132072,-0.0,0.00155203,0.000176991,-8.87345e-05,0.00688139,0.00067128,0.043452,3.65377e-05,0.0435539
,,,,,,,,,,,,,,,,-0.000112572,0.308334,0.0001309,-0.901061,0.0043218,-0.00579624,0.000116429,0.00566429,0.10584,0.000116429,0.00403368,-0.000146283,0.000318655,0.000176991,0.00147493,-0.116239,-0.0,-0.119952,0.00201684,-0.0,0.000108667,0.111341,3.07084e-05,-0.00489804,0.098784,0.0043218,-0.00115627,0.00147493,-7.65663e-05,-0.6097,0.00255875,-0.0,0.00201684,0.000221239,-0.000131953,0.00780379,-0.0,0.043452,5.43334e-05,0.049392
,,,,,,,,,,,,,,,,-8.92277e-05,0.33969,0.000140969,-0.880187,0.00544191,-0.00703717,0.000165145,0.00685,0.118148,0.000165145,0.00507911,-0.000142691,0.000401242,0.000176991,0.00442478,-0.126711,-0.0,-0.133901,0.00186828,-0.0,0.000154135,0.120543,3.43003e-05,-0.00616749,0.110271,0.00544191,-0.00107368,0.00147493,-6.39013e-05,-0.64655,0.000654335,-0.0,0.00253956,0.000243363,-0.000187164,0.00871125,0.00067128,0.039831,7.70676e-05,0.0551356
,,,,,,,,,,,,,,,,-7.69817e-05,0.36582,0.000151038,-0.862792,0.00668408,-0.00826239,0.000225674,0.00800663,0.130254,0.000225674,0.00623848,-0.000160352,0.00049283,0.000199115,0.00442478,-0.126711,-0.0,-0.147621,0.00311924,-0.0,0.000210629,0.119136,3.87633e-05,-0.00757529,0.12157,0.00668408,0.00049283,-0.0,-4.57237e-05,-0.7035,0.0018137,-0.0,0.00311924,0.000287611,-0.000255764,0.00960387,-0.0,0.039831,0.000105314,0.0607852
,,,,,,,,,,,,,,,,-3.04563e-05,0.407628,0.000151038,-0.83496,0.00804632,-0.00944049,0.000299227,0.00910136,0.14216,0.000299227,0.0075099,-0.000177052,0.00059327,0.000221239,0.00147493,-0.123569,-0.0,-0.161114,0.00308367,-0.0,0.000279278,0.11445,4.41864e-05,-0.00911916,0.132682,0.00804632,-0.000881656,0.00147493,-1.1399e-05,-0.73365,0.00603497,-0.0,0.00375495,0.000309734,-0.000339123,0.0104817,0.00067128,0.043452,0.000139639,0.0663412
,,,,,,,,,,,,,,,,7.21185e-06,0.428532,0.000161107,-0.824523,0.00952661,-0.0104772,0.000386994,0.0100386,0.153866,0.000386994,0.00889151,-0.000192705,0.000702415,0.000243363,0.00147493,-0.117286,-0.0,-0.174382,0.00377447,-0.0,0.000361194,0.106489,5.06577e-05,-0.0107968,0.143609,0.00952661,-0.000772511,0.00147493,1.94897e-05,-0.80735,0.00741658,-0.0,0.00444575,0.000353982,-0.000438593,0.0113449,0.00067128,0.039831,0.000180597,0.0718043
,,,,,,,,,,,,,,,,5.92393e-05,0.454662,0.000171177,-0.796691,0.011123,-0.0113883,0.000490146,0.0108328,0.165374,0.000490146,0.0103814,-0.000207223,0.000820119,0.000265487,0.00442478,-0.0858702,-0.0,-0.187424,0.00519072,-0.0,0.000457469,0.0732642,5.82633e-05,-0.012606,0.15435,0.011123,-0.000654807,0.00147493,5.75582e-05,-1.1658,0.00595667,-0.0,0.00519072,0.00039823,-0.000555499,0.0121934,-0.0,0.039831,0.000228735,0.0771748
,,,,,,,,,,,,,,,,0.000148824,0.49647,0.000171177,-0.789733,0.0128334,-0.0116239,0.000609834,0.0109327,0.176685,0.000609834,0.0119779,-0.000220522,0.000946234,0.000287611,0.00147493,-0.0261799,-0.0,-0.200244,0.00531766,-0.0,0.000569178,0.0116354,6.70881e-05,-0.0145446,0.164906,0.0128334,-0.000528692,0.00147493,0.000113413,-1.5678,0.010503,-0.0,0.00598894,0.000420354,-0.000691145,0.0130274,0.00067128,0.039831,0.000284589,0.0824532
,,,,,,,,,,,,,,,,0.000254898,0.512148,0.000181246,-0.761901,0.014656,-0.0114825,0.000747188,0.0106357,0.1878,0.000747188,0.013679,-0.000232519,0.00108062,0.000309734,0.00147493,0.0125664,-0.0,-0.21284,0.0061682,-0.0,0.000697376,-0.0291765,7.72155e-05,-0.0166102,0.17528,0.014656,-0.000394308,0.00147493,0.000167442,-1.7152,0.012204,-0.0,0.00683948,0.000442478,-0.000846814,0.0138469,0.00067128,0.039831,0.000348688,0.0876401
,,,,,,,,,,,,,,,,0.000400622,0.538278,0.000181246,-0.747985,0.0165888,-0.011404,0.000903322,0.0103802,0.19872,0.000903322,0.0154829,-0.000243131,0.00122312,0.000331858,-0.0,0.0125664,-0.0,-0.225216,0.00774144,-0.0,0.0008431,-0.031367,8.87275e-05,-0.0188006,0.185472,0.0165888,-0.000251802,0.00147493,0.000240304,-1.75875,0.0154829,-0.0,0.00774144,0.000442478,-0.00102376,0.014652,-0.0,0.039831,0.00042155,0.092736
,,,,,,,,,,,,,,,,0.000542768,0.559182,0.000191315,-0.73059,0.0186298,-0.0113883,0.00107933,0.010165,0.209446,0.00107933,0.0173878,-0.000252278,0.00137361,0.000353982,0.00147493,0.0010472,-0.0,-0.237372,0.00802262,-0.0,0.00100737,-0.022161,0.000101705,-0.0211138,0.195483,0.0186298,-0.000101316,0.00147493,0.00031237,-1.7554,0.0159129,-0.0,0.0086939,0.000464602,-0.00122324,0.0154428,0.00067128,0.039831,0.000503685,0.0977413
,,,,,,,,,,,,,,,,0.000704461,0.590538,0.000211453,-0.713195,0.0207771,-0.0113883,0.00127627,0.00994183,0.219978,0.00127627,0.0193919,-0.00025988,0.00153193,0.000376106,0.00147493,0.0,-0.0,-0.249309,0.00768212,-0.0,0.00119119,-0.0235473,0.000116226,-0.0235473,0.205313,0.0207771,5.7007e-05,0.00147493,0.00038414,-1.72525,0.017917,-0.0,0.00969597,0.000486726,-0.00144644,0.0162194,0.00201384,0.039831,0.000595593,0.102657
,,,,,,,,,,,,,,,,0.000886684,0.632346,0.000211453,-0.702758,0.0230287,-0.0113883,0.00149521,0.0096937,0.230319,0.00149521,0.0214935,-0.000265861,0.00169795,0.00039823,0.00147493,0.0,-0.0,-0.261028,0.0107467,-0.0,0.00139553,-0.0260992,0.000132369,-0.0260992,0.214964,0.0230287,0.000223025,0.00147493,0.000486313,-1.71855,0.0200185,-0.0,0.0107467,0.00050885,-0.00169458,0.0169819,-0.0,0.043452,0.000697767,0.107482
,,,,,,,,,,,,,,,,0.0010904,0.658476,0.000221523,-0.667968,0.0253828,-0.0113883,0.00173719,0.00941946,0.240469,0.00173719,0.0236906,-0.000270144,0.00187152,0.000420354,0.00147493,0.0,-0.0,-0.272531,0.011174,-0.0,0.00162138,-0.0287672,0.00015021,-0.0287672,0.224438,0.0253828,0.000396597,0.00147493,0.000589165,-1.71855,0.0222157,-0.0,0.0118453,0.000530973,-0.00196881,0.0177302,0.00067128,0.043452,0.000810688,0.112219
