proportionalf_1.txt,wrench_mx.txt,wrench_fx.txt,integralf_3.txt,wrench_fy.txt,integralf_2.txt,integralf_1.txt,wrench_fz.txt,proportionalf_4.txt,wrench_mz.txt,proportionalf_3.txt,integralf_5.txt,integralf_4.txt,wrench_my.txt,proportionalf_5.txt,proportionalf_2.txt,posd1.txt,error_vel_4.txt,accd1.txt,accd5.txt,vela4.txt,error_vel_1.txt,trq1.txt,error_pos_1.txt,posa3.txt,error_vel_2.txt,error_pos_3.txt,error_pos_2.txt,veld2.txt,error_pos_4.txt,posd5.txt,posa2.txt,error_vel_3.txt,accd3.txt,error_vel_5.txt,trq2.txt,veld1.txt,posd3.txt,accd4.txt,vela5.txt,trq5.txt,posd2.txt,accd2.txt,posa1.txt,veld4.txt,veld5.txt,trq3.txt,posd4.txt,error_pos_5.txt,vela1.txt,posa5.txt,vela3.txt,posa4.txt,vela2.txt,veld3.txt,trq4.txt
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.00147493,0.0,-0.005226,0.0,-0.000424115,0.0,0.000188496,0.0,0.0,-2.21239e-05,2.21239e-05,-0.0,0.00418879,0.0,0.00147493,-0.0,0.0,-0.000235619,0.0,-0.0,-0.852355,0.0,0.0,-0.0,0.00147493,0.00147493,0.3886,2.21239e-05,-2.21239e-05,-0.0,4.42478e-05,-0.0136136,4.42478e-05,-0.0,-0.00942478,-0.409173
,,,,,,,,,,,,,,,,3.89162e-07,0.0015214,0.023262,0.0102021,-0.0,0.000116602,-0.005226,3.89162e-07,-0.00069115,9.32818e-06,0.000361178,-1.00381e-05,9.32818e-06,-5.14673e-05,3.70438e-05,1.00692e-05,0.0093932,-0.00630052,5.11388e-05,-0.067938,0.000116602,-0.000329973,0.00927163,0.00147493,-0.841918,3.11329e-08,0.00186096,-0.0,0.0015214,0.00152606,0.0,3.70283e-05,-2.93278e-05,-0.0,6.63717e-05,-0.0188496,8.84956e-05,-0.0,-0.00945636,-0.3621
,,,,,,,,,,,,,,,,3.10161e-06,-0.00276488,0.0461742,0.0202508,0.00442478,0.000464074,-0.005226,3.10161e-06,-0.00100531,-0.000634155,0.000580355,-5.00979e-05,3.71259e-05,-0.000102009,5.29827e-05,5.0346e-05,0.0166295,-0.012506,0.000203531,-0.02613,0.000464074,-0.000424955,0.0184038,0.00147493,-0.817565,2.48129e-07,0.00369394,-0.0,0.00165989,0.00167846,-0.02345,5.28586e-05,-3.55129e-05,-0.0,8.84956e-05,-0.0261799,0.000154867,0.00067128,-0.00955047,-0.336753
,,,,,,,,,,,,,,,,1.04286e-05,-0.00401069,0.0687384,0.0301467,0.0058997,0.00103893,-0.005226,1.04286e-05,-0.00130376,-0.00394457,0.000782574,-8.97886e-05,8.31141e-05,-0.000128587,7.09454e-05,9.06229e-05,0.0217098,-0.0186168,0.000455645,0.10452,0.00103893,-0.000521187,0.0273972,0.00147493,-0.803649,8.34286e-07,0.00549907,-0.0,0.00188901,0.00193057,-0.11055,7.05282e-05,-3.96741e-05,-0.0,0.000110619,-0.0314159,0.000199115,0.00402768,-0.00970616,-0.315027
,,,,,,,,,,,,,,,,2.46265e-05,-0.0022174,0.0909563,0.0398907,0.00442478,0.00183769,-0.005226,2.46265e-05,-0.00174358,-0.00455195,0.0011243,-0.000138999,0.000147015,-0.000130303,9.19215e-05,0.000140969,0.0214934,-0.0246334,0.000805958,0.141102,0.00183769,-0.00061928,0.0362525,0.00147493,-0.782775,1.97012e-06,0.0072765,-0.0,0.00220738,0.00228088,-0.17085,9.09364e-05,-4.08219e-05,-0.0,0.000132743,-0.0314159,0.000221239,0.00469896,-0.00992249,-0.296922
,,,,,,,,,,,,,,,,4.79172e-05,0.00113868,0.11283,0.0494836,0.00147493,0.0028569,-0.005226,4.79172e-05,-0.00238761,-0.00379913,0.00166777,-0.000157274,0.000228552,-0.00010627,0.000116885,0.000161107,0.0379726,-0.0305564,0.00125296,0.167232,0.0028569,-0.000719836,0.0449704,0.00147493,-0.772338,3.83337e-06,0.00902637,-0.0,0.00261361,0.00272788,-0.2747,0.000114969,-3.79819e-05,-0.0,0.000154867,-0.0481711,0.000221239,0.00402768,-0.0101985,-0.275196
,,,,,,,,,,,,,,,,8.2488e-05,0.0016314,0.13436,0.0589261,0.00147493,0.00409314,-0.010452,8.2488e-05,-0.00307876,-0.00168639,0.00225531,-0.000164577,0.000327451,-9.9866e-05,0.000146796,0.000171177,0.0533457,-0.0363863,0.00179513,0.229944,0.00409314,-0.000823447,0.0535516,0.00147493,-0.744506,6.59904e-06,0.0107488,-0.0,0.00310633,0.00327005,-0.3551,0.000143497,-3.01948e-05,-0.0,0.000176991,-0.0638791,0.000243363,0.00201384,-0.0105333,-0.25347
,,,,,,,,,,,,,,,,0.000130492,0.00220926,0.15555,0.0682189,0.00147493,0.00554297,-0.0,0.000130492,-0.00381704,-0.000227843,0.00288634,-0.000160737,0.000443438,-0.000110232,0.000182599,0.000171177,0.0613307,-0.0421234,0.00243098,0.266526,0.00554297,-0.000930695,0.0619969,0.00147493,-0.720153,1.04394e-05,0.012444,-0.0,0.00368419,0.0039059,-0.45895,0.000177379,-1.65163e-05,-0.0,0.000199115,-0.0722566,0.000287611,0.00067128,-0.0109259,-0.235365
,,,,,,,,,,,,,,,,0.000194048,0.00287089,0.1764,0.0773629,0.00147493,0.007203,-0.0,0.000194048,-0.0045396,0.00057624,0.00349745,-0.000155653,0.00057624,-9.22747e-05,0.000225222,0.000171177,0.0587868,-0.0477683,0.00315901,0.297882,0.007203,-0.00104216,0.0703069,0.00147493,-0.706237,1.55238e-05,0.014112,-0.0,0.00434582,0.00463394,-0.5293,0.00021746,3.98277e-06,-0.0,0.000221239,-0.0701622,0.000309734,-0.0,-0.0113755,-0.21726
,,,,,,,,,,,,,,,,0.000275241,0.00361495,0.196913,0.0863589,0.00147493,0.00906984,-0.0,0.000275241,-0.00538783,0.000725588,0.00422944,-0.000149157,0.000725588,-8.94122e-05,0.00027558,0.000171177,0.0635172,-0.0533214,0.00397774,0.31356,0.00906984,-0.00115839,0.0784824,0.00147493,-0.692321,2.20193e-05,0.015753,-0.0,0.00508988,0.00545267,-0.5494,0.00026457,5.43408e-05,-0.0,0.000221239,-0.0753982,0.000353982,-0.0,-0.011881,-0.202776
