proportionalf_5.txt,wrench_my.txt,proportionalf_4.txt,wrench_fy.txt,wrench_fx.txt,integralf_1.txt,integralf_3.txt,proportionalf_1.txt,proportionalf_2.txt,wrench_mz.txt,proportionalf_3.txt,wrench_mx.txt,integralf_5.txt,integralf_2.txt,wrench_fz.txt,integralf_4.txt,posa3.txt,posa2.txt,trq2.txt,accd2.txt,veld4.txt,accd5.txt,veld3.txt,error_pos_3.txt,error_vel_2.txt,posd4.txt,posd1.txt,trq1.txt,vela2.txt,error_vel_1.txt,accd1.txt,trq5.txt,error_vel_5.txt,error_pos_4.txt,error_vel_3.txt,posa5.txt,posa4.txt,posd3.txt,vela4.txt,trq4.txt,posd2.txt,vela5.txt,posd5.txt,vela1.txt,vela3.txt,veld2.txt,veld5.txt,trq3.txt,accd4.txt,error_pos_5.txt,error_pos_1.txt,veld1.txt,error_pos_2.txt,error_vel_4.txt,accd3.txt,posa1.txt
,,,,,,,,,,,,,,,,-1.5708e-05,-0.0,-0.0,0.0,0.00147493,0.0,-0.0010472,0.0,0.0,2.21239e-05,0.0,-0.005226,-0.0,0.0,0.0,-1.16547,0.00147493,-2.21239e-05,-0.0010472,2.21239e-05,4.42478e-05,-1.5708e-05,0.00147493,-0.409173,0.0,-0.0,2.21239e-05,-0.0,0.0,0.0,0.00147493,0.2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
,,,,,,,,,,,,,,,,-6.28319e-05,1.00692e-05,-0.015678,0.0738787,0.00221678,0.00803985,-0.00199715,3.34774e-05,0.000371259,3.93522e-05,3.72193e-06,-0.005226,-0.0,0.00111378,0.221636,-1.14459,0.00151533,-2.70195e-05,-0.000949951,2.21239e-05,6.63717e-05,-2.93544e-05,0.00147493,-0.354858,1.24064e-06,-0.0,3.70082e-05,-0.0,-0.0010472,0.000371259,0.00151533,-0.0201,0.147625,1.48843e-05,3.72193e-06,0.00111378,-8.82856e-06,0.000741853,-0.189035,-0.0
,,,,,,,,,,,,,,,,-0.000219911,4.02768e-05,-0.020904,0.14553,0.00441259,0.0158369,-0.00480891,0.000158055,-0.000543691,7.13059e-05,2.95518e-05,-0.005226,0.00201384,0.00441045,0.43659,-1.1098,0.000159988,-6.14374e-05,0.00566307,4.42478e-05,0.000132743,-6.18569e-05,0.00442478,-0.329511,9.8506e-06,0.00147493,5.26944e-05,-0.0,-0.010472,0.00147015,0.00163491,-0.11055,0.290798,8.44662e-06,2.95518e-05,0.00441045,-3.04262e-05,-1.21927e-05,-0.372371,-0.0
,,,,,,,,,,,,,,,,-0.000518363,8.05537e-05,-0.047034,0.214976,0.00801806,0.0233935,-0.00942576,0.000386813,-0.000753174,0.000132303,9.89855e-05,-0.0,0.00402768,0.00982353,0.644929,-1.09241,0.00183126,-4.46884e-05,0.015707,4.42478e-05,0.000176991,-0.000131549,0.00442478,-0.296922,3.29952e-05,-0.0,6.99623e-05,-0.0,-0.0251327,0.00327451,0.00183126,-0.18425,0.429565,2.57145e-05,9.89855e-05,0.00982353,-4.75585e-05,0.00359328,-0.550064,-0.0
,,,,,,,,,,,,,,,,-0.00114668,0.000110761,0.031356,0.28224,0.0129894,0.0307121,-0.0157916,0.000890479,0.00173472,0.00023622,0.000232858,-0.0,0.00402768,0.0172872,0.84672,-1.06805,0.000627064,3.71047e-05,0.0313323,6.63717e-05,0.000199115,-0.000256202,0.00442478,-0.278817,7.76192e-05,0.00147493,8.95676e-05,-0.0,-0.0471239,0.0057624,0.00210199,-0.23115,0.563971,2.31959e-05,0.000232858,0.0172872,-3.31421e-05,0.00856457,-0.722173,-0.0
,,,,,,,,,,,,,,,,-0.0019792,0.0001309,0.109746,0.347344,0.0192831,0.0377953,-0.0238508,0.00152618,0.00689827,0.000396498,0.000451348,-0.0,0.00201384,0.0267363,1.04203,-1.04718,0.00244472,0.000175259,0.0557362,6.63717e-05,0.000221239,-0.000453026,-0.0,-0.249849,0.000150449,-0.0,0.000112242,-0.0,-0.079587,0.00891211,0.00244472,-0.3082,0.69406,4.58705e-05,0.000451348,0.0267363,1.95495e-05,0.0192831,-0.888754,-0.0
,,,,,,,,,,,,,,,,-0.00290597,0.0001309,0.172458,0.41031,0.0268563,0.0446455,-0.0335484,0.00216729,0.0120309,0.000626146,0.000773987,-0.0,0.00067128,0.0381065,1.23093,-1.01935,0.00138219,0.000382784,0.0575578,8.84956e-05,0.000243363,-0.000738679,0.00147493,-0.224502,0.000257996,0.00147493,0.000138694,-0.0,-0.0911062,0.0127022,0.00285712,-0.3685,0.819877,5.01987e-05,0.000773987,0.0381065,0.000127096,0.0253814,-1.04987,-0.0
,,,,,,,,,,,,,,,,-0.00391128,0.0001309,0.214266,0.471161,0.0356665,0.0512651,-0.0448301,0.00278201,0.0171113,0.000937747,0.00121967,-0.0,-0.0,0.0513338,1.41348,-1.00543,0.00333686,0.000672261,0.0494177,0.000110619,0.000265487,-0.00112927,0.00442478,-0.213639,0.000406556,-0.0,0.000169609,-0.0,-0.0942478,0.0171113,0.00333686,-0.4489,0.941468,5.89896e-05,0.00121967,0.0513338,0.000275656,0.0312418,-1.20557,-0.0
,,,,,,,,,,,,,,,,-0.00497942,0.0001309,0.245622,0.52992,0.0456717,0.0576565,-0.0576419,0.00333904,0.0221184,0.00134346,0.00180664,0.005226,-0.0,0.0663552,1.58976,-0.970641,0.00240673,0.00103373,0.0470779,0.000110619,0.000309734,-0.00164038,0.00442478,-0.206397,0.000602214,0.00147493,0.000205648,-0.0,-0.10472,0.0221184,0.00388166,-0.4757,1.05888,9.50289e-05,0.00179657,0.0663552,0.000471315,0.0412469,-1.35591,1.00692e-05
,,,,,,,,,,,,,,,,-0.0061104,0.000140969,0.292656,0.586609,0.0568303,0.0638223,-0.0719306,0.00382336,0.0270315,0.00185503,0.00255254,0.094068,0.00067128,0.082437,1.75983,-0.960204,0.00301432,0.00147892,0.0380251,0.000132743,0.000376106,-0.00228704,0.00442478,-0.177429,0.000850848,0.00147493,0.000247452,0.00067128,-0.109956,0.0277028,0.00448924,-0.55945,1.17215,0.000114708,0.0025324,0.0831083,0.000709879,0.0524055,-1.50096,2.01384e-05
,,,,,,,,,,,,,,,,-0.00746128,0.000151038,0.334464,0.64125,0.0691011,0.0697649,-0.0876436,0.00437754,0.0331725,0.00248377,0.00347437,0.245622,0.00067128,0.0995174,1.92375,-0.935851,0.00515736,0.00201917,0.0390673,0.000154867,0.000464602,-0.00308374,0.00884956,-0.155703,0.00115812,-0.0,0.000295635,0.00201384,-0.126711,0.0338437,0.00515736,-0.58625,1.28133,0.000140768,0.0034341,0.101531,0.00100709,0.0602515,-1.64077,4.02768e-05
,,,,,,,,,,,,,,,,-0.00895354,0.000161107,0.381498,0.693866,0.0824434,0.0754868,-0.104729,0.00490906,0.0398497,0.00324062,0.00458853,0.41808,0.00067128,0.118878,2.0816,-0.911498,0.00440888,0.00264327,0.0397845,0.000154867,0.000597345,-0.00404448,0.0103245,-0.152082,0.00152951,0.00147493,0.000350793,0.00268512,-0.144513,0.040521,0.0058838,-0.6834,1.38646,0.000195926,0.00450798,0.121563,0.0013684,0.0721189,-1.7754,8.05537e-05
,,,,,,,,,,,,,,,,-0.0104615,0.000181246,0.423306,0.74448,0.096817,0.0809903,-0.123134,0.00527878,0.0470431,0.00413608,0.0059108,0.658476,0.00067128,0.137102,2.23344,-0.894103,0.00519144,0.00333962,0.027662,0.000176991,0.00079646,-0.00518272,0.0176991,-0.14484,0.00197027,0.00147493,0.000413498,0.00604152,-0.150796,0.0477144,0.00666637,-0.84085,1.4876,0.000236507,0.00574969,0.143143,0.00178902,0.0791179,-1.9049,0.000161107
,,,,,,,,,,,,,,,,-0.0119066,0.000191315,0.47034,0.793114,0.112182,0.086278,-0.14281,0.00539523,0.0533902,0.00518026,0.00745636,0.872742,0.00201384,0.153458,2.37934,-0.883666,0.00602796,0.00402982,-0.000391007,0.000199115,0.00115044,-0.0065114,0.0265487,-0.079662,0.00248545,0.00147493,0.0004843,0.0127543,-0.142419,0.055404,0.00750289,-1.0385,1.58477,0.000285185,0.00710393,0.166212,0.00229414,0.0856334,-2.02934,0.000352422
,,,,,,,,,,,,,,,,-0.0129434,0.000211453,0.512148,0.83979,0.128499,0.0913523,-0.163705,0.00490038,0.0628989,0.00638289,0.0092398,0.94068,0.00067128,0.161845,2.51937,-0.86975,0.00839122,0.00463511,-0.0401352,0.000199115,0.00174779,-0.00804298,0.0486726,0.061557,0.00307993,-0.0,0.000563729,0.0288651,-0.123569,0.0635702,0.00839122,-1.31655,1.67803,0.000364614,0.00851482,0.19071,0.00286848,0.0798268,-2.14877,0.000724983
