wrench_my.txt,proportionalf_3.txt,wrench_fz.txt,wrench_mx.txt,integralf_3.txt,integralf_4.txt,proportionalf_1.txt,wrench_fy.txt,proportionalf_5.txt,proportionalf_4.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,wrench_fx.txt,proportionalf_2.txt,integralf_5.txt,posd1.txt,error_pos_3.txt,error_vel_2.txt,veld4.txt,posa4.txt,veld2.txt,accd5.txt,veld1.txt,posa1.txt,posd4.txt,veld5.txt,posa3.txt,error_pos_1.txt,posa2.txt,error_vel_1.txt,error_vel_4.txt,error_pos_2.txt,veld3.txt,trq1.txt,trq2.txt,vela1.txt,posa5.txt,error_pos_4.txt,posd5.txt,accd3.txt,error_pos_5.txt,accd4.txt,error_vel_5.txt,vela5.txt,vela4.txt,posd3.txt,accd2.txt,vela2.txt,posd2.txt,error_vel_3.txt,vela3.txt,accd1.txt,trq4.txt,trq5.txt,trq3.txt
,,,,,,,,,,,,,,,,0.000926367,0.0,0.0,0.0,-0.0,0.0,0.0,0.0349066,0.00125865,0.0,0.0,0.0,-0.000332284,-0.0,0.00201384,0.0,0.0,0.0,-0.909324,-0.0,0.0328927,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.014484,-0.013916,-0.03015
,,,,,,,,,,,,,,,,0.00127589,6.24334e-05,9.32818e-05,9.32818e-05,-0.0,9.32818e-05,0.00530374,0.0350426,0.0015708,3.11329e-07,2.65853e-05,-6.28319e-05,-0.00029491,-0.0,0.00013597,9.32818e-05,3.11329e-07,-0.000119401,-0.799578,-0.015678,0.0349066,-0.0,3.11329e-07,8.87288e-08,-0.0238203,8.87288e-08,0.0186096,2.65853e-05,-0.0,-0.0,-3.98502e-07,0.0186096,-0.0,3.11329e-07,0.000927797,-0.0010472,0.0271256,0.043452,0.003479,-0.25125
,,,,,,,,,,,,,,,,0.00162812,0.000279567,-0.00164258,0.000371259,2.21239e-05,0.000371259,0.0105277,0.0354477,0.00176211,2.48129e-06,0.000105809,-0.000282743,-0.000133996,3.02076e-05,0.0112816,-0.00110367,-2.77263e-05,-0.000475212,-0.668928,-0.057486,0.0241661,-0.0,-1.96426e-05,7.07167e-07,-0.0472824,7.07167e-07,0.0369394,0.000105809,-0.0,0.00147493,-3.17605e-06,0.0369394,0.00201384,2.48129e-06,0.0152328,-0.015708,0.053842,0.043452,0.027832,-0.3685
,,,,,,,,,,,,,,,,0.00198573,0.000853259,-0.00185398,0.000831141,4.42478e-05,0.000831141,0.0156724,0.036118,0.0019635,8.34286e-06,0.000236875,-0.000863938,2.22297e-05,7.04845e-05,0.0179935,-0.000643785,-6.21416e-05,-0.00106386,-0.580086,-0.0,0.0181246,-0.0,-3.59049e-05,2.37772e-06,-0.0703881,2.37772e-06,0.0549907,0.000236875,-0.0,0.00147493,-1.06789e-05,0.0549907,0.00268512,8.34286e-06,0.0397768,-0.0408407,0.0801513,0.043452,0.024353,-0.3886
,,,,,,,,,,,,,,,,0.00235135,0.00173407,-0.00255753,0.00147015,8.84956e-05,0.00147015,0.020738,0.0370494,0.00222529,1.97012e-05,0.000418993,-0.00175929,0.000126052,0.000100692,0.0148972,-4.77613e-06,-8.09909e-05,-0.00188179,-0.512148,0.07839,0.0221523,-0.0,-6.87944e-05,5.61484e-06,-0.0931392,5.61484e-06,0.072765,0.000418993,-0.0,0.00147493,-2.52175e-05,0.072765,0.00402768,1.97012e-05,0.0745636,-0.0764454,0.106055,0.047073,-0.017395,-0.41875
,,,,,,,,,,,,,,,,0.00272757,0.00271553,0.000271681,0.00228552,0.000132743,0.00228552,0.0257251,0.0382378,0.00237633,3.83337e-05,0.000651374,-0.0027646,0.000351237,0.00012083,0.0160855,-0.00213926,-8.24967e-05,-0.00292547,-0.397176,0.141102,0.0221523,-0.0,-9.44096e-05,1.09251e-05,-0.115538,1.09251e-05,0.0902637,0.000651374,-0.0,0.00442478,-4.90672e-05,0.0902637,0.00201384,3.83337e-05,0.0923695,-0.095295,0.131557,0.047073,0.024353,-0.4489
,,,,,,,,,,,,,,,,0.00311695,0.00371686,0.00260323,0.00327451,0.000176991,0.00327451,0.0306341,0.0396792,0.00237633,6.59904e-05,0.000933235,-0.00380133,0.000740613,0.00012083,0.0336377,-0.00115027,-5.48401e-05,-0.00419137,-0.28743,0.193362,0.00604152,-0.0,-0.000111001,1.88073e-05,-0.137585,1.88073e-05,0.107488,0.000933235,-0.0,0.00442478,-8.44677e-05,0.107488,0.00067128,6.59904e-05,0.0973868,-0.101578,0.156657,0.039831,-0.017395,-0.49915
,,,,,,,,,,,,,,,,0.00352198,0.00481438,0.00443438,0.00443438,0.000199115,0.00443438,0.0354653,0.0413696,0.00236626,0.000104394,0.0012638,-0.00494801,0.00115572,0.0001309,0.0433835,9.5972e-06,-2.65062e-05,-0.005676,-0.224718,0.229944,-0.00201384,-0.0,-9.47215e-05,2.97522e-05,-0.159283,2.97522e-05,0.12444,0.0012638,-0.0,0.00442478,-0.000133624,0.12444,-0.0,0.000104394,0.105327,-0.111003,0.181358,0.043452,-0.0,-0.47905
,,,,,,,,,,,,,,,,0.00394515,0.00589598,0.00509112,0.0057624,0.000243363,0.0057624,0.0402192,0.043305,0.00236626,0.000155238,0.00164228,-0.00609469,0.00157889,0.0001309,0.043305,0.00428747,2.43387e-05,-0.00737587,-0.167232,0.276978,-0.0,-0.0,-8.81244e-05,4.42429e-05,-0.180634,4.42429e-05,0.14112,0.00164228,-0.0,0.00147493,-0.000198705,0.14112,0.00067128,0.000155238,0.108863,-0.116239,0.205662,0.039831,-0.010437,-0.5092
,,,,,,,,,,,,,,,,0.00438889,0.0071009,0.0065846,0.00725588,0.000265487,0.00725588,0.0448961,0.0454815,0.00236626,0.000220193,0.00206792,-0.00738274,0.00202262,0.000140969,0.0454815,0.0028311,7.92241e-05,-0.00928752,-0.114972,0.318786,-0.0,-0.0,-4.52937e-05,6.2755e-05,-0.201639,6.2755e-05,0.15753,0.00206792,-0.0,0.00442478,-0.000281847,0.15753,0.00067128,0.000220193,0.117423,-0.126711,0.229572,0.032589,0.010437,-0.5159
