proportionalf_1.txt,proportionalf_2.txt,proportionalf_3.txt,wrench_fy.txt,integralf_4.txt,wrench_my.txt,integralf_5.txt,wrench_mz.txt,integralf_1.txt,integralf_2.txt,integralf_3.txt,proportionalf_5.txt,wrench_fz.txt,wrench_fx.txt,proportionalf_4.txt,wrench_mx.txt,accd3.txt,trq2.txt,vela5.txt,trq4.txt,trq3.txt,accd2.txt,posd5.txt,vela1.txt,trq5.txt,vela2.txt,posa4.txt,vela4.txt,veld4.txt,error_vel_4.txt,posa1.txt,posd2.txt,veld5.txt,error_vel_5.txt,posa2.txt,accd4.txt,vela3.txt,error_pos_4.txt,veld3.txt,trq1.txt,veld2.txt,posd4.txt,accd5.txt,error_pos_2.txt,error_pos_3.txt,error_pos_5.txt,posd3.txt,posa3.txt,error_vel_1.txt,accd1.txt,error_vel_2.txt,veld1.txt,error_pos_1.txt,posa5.txt,posd1.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,0.0,-0.0,-0.0,-0.300543,0.3685,0.0,2.21239e-05,-0.0,-0.848876,-0.0,2.21239e-05,-0.0,0.0,0.0,-0.0,0.0,0.00147493,0.00147493,-0.0,0.0,-0.0010472,-2.21239e-05,0.0,-0.015678,0.0,0.0,0.0,0.0,0.0,-2.21239e-05,-1.5708e-05,-1.5708e-05,0.0,0.0,0.0,0.0,0.0,4.42478e-05,0.0,0.0010472
,,,,,,,,,,,,,,,,-0.0238202,-0.0,0.00147493,-0.246228,-0.00335,0.0139572,3.69613e-05,-0.0,-0.824523,-0.0,4.42478e-05,0.00147493,9.32818e-05,-0.00138164,-0.0,2.33497e-07,0.00150135,2.64191e-05,1.00692e-05,0.0186096,0.0,-4.39365e-05,-0.0001194,-0.015678,6.99614e-05,3.11329e-07,0.00527057,-9.83571e-06,4.67254e-05,-7.28646e-06,-1.61065e-05,-6.28319e-05,2.33205e-05,0.0046524,6.99614e-05,2.33205e-05,7.78323e-08,4.42478e-05,7.78323e-08,-0.0001194
,,,,,,,,,,,,,,,,-0.0472821,-0.015678,-0.0,-0.228123,-0.02345,0.0277045,5.23252e-05,-0.0,-0.817565,0.00067128,8.84956e-05,0.00147493,0.000371259,-0.00110367,-0.0,1.86097e-06,0.00158007,0.00158007,4.02768e-05,0.0369394,-0.00418879,-8.60143e-05,-0.000475209,-0.015678,0.000278445,2.48129e-06,0.0104618,-3.84159e-05,0.000169612,-1.40465e-05,-1.8884e-05,-0.000188496,9.28148e-05,0.00923484,-0.000392836,9.28148e-05,6.20322e-07,6.63717e-05,6.20322e-07,0.00371358
,,,,,,,,,,,,,,,,-0.0703877,-0.062712,0.00147493,-0.206397,-0.0737,0.041243,6.87345e-05,-0.0,-0.793212,0.00268512,0.000154867,0.0058997,0.000831141,-0.00506856,-0.0,6.25715e-06,0.00171032,0.000235393,7.04845e-05,0.0549907,-0.0136136,-0.000146524,-0.00106385,-0.015678,0.000623356,8.34286e-06,0.0155742,-6.42273e-05,0.000334896,-1.97611e-05,-2.63868e-05,-0.000361283,0.000207785,0.0137477,-0.00206177,0.000207785,2.08572e-06,8.84956e-05,2.08572e-06,0.0125497
,,,,,,,,,,,,,,,,-0.0931386,0.057486,0.00147493,-0.191913,-0.1541,0.0545737,8.67006e-05,-0.0,-0.782775,0.00402768,0.000199115,0.00442478,0.00147015,-0.00295463,-0.0,1.47759e-05,0.00189129,0.000416369,0.000100692,0.072765,-0.0188496,-0.000179414,-0.00188178,-0.015678,0.00110261,1.97012e-05,0.020608,-8.59162e-05,0.000650225,-1.79493e-06,-4.09253e-05,-0.00069115,0.000367537,0.0181912,-0.00292507,0.000367537,4.9253e-06,8.84956e-05,4.9253e-06,0.0169678
,,,,,,,,,,,,,,,,-0.115537,0.088842,0.00147493,-0.177429,-0.2077,0.0676978,0.000106727,-0.0,-0.761901,0.00201384,0.000243363,0.00442478,0.00228552,-0.00213926,-0.0,2.87503e-05,0.00212222,0.000647292,0.000110761,0.0902637,-0.0324631,-0.000205029,-0.00292545,-0.010452,0.00171414,3.83337e-05,0.0255637,-8.2011e-05,0.00117615,-3.89256e-06,-6.47748e-05,-0.00124093,0.000571381,0.0225659,-0.0002997,0.000571381,9.58344e-06,0.000110619,9.58344e-06,0.0295377
,,,,,,,,,,,,,,,,-0.137584,0.135876,-0.0,-0.173808,-0.29145,0.0806161,0.000129309,-0.0,-0.747985,0.00067128,0.000265487,0.00442478,0.00327451,-0.00115027,-0.0,4.94928e-05,0.00240231,0.00240231,0.000110761,0.107488,-0.0607375,-0.000199496,-0.00419135,-0.010452,0.00245588,6.59904e-05,0.0304417,-6.12685e-05,0.00191044,-3.43446e-06,-0.000100175,-0.00201062,0.000818627,0.026872,0.0017846,0.000818627,1.64976e-05,0.000132743,1.64976e-05,0.0565461
,,,,,,,,,,,,,,,,-0.159282,0.193362,0.00147493,-0.162945,-0.3216,0.0933298,0.000154934,-0.0,-0.727111,-0.0,0.000331858,0.00442478,0.00443438,9.5972e-06,-0.0,7.82951e-05,0.00273079,0.00125587,0.000110761,0.12444,-0.0753982,-0.000227465,-0.00567597,-0.010452,0.00332578,0.000104394,0.0352424,-3.24661e-05,0.0026781,2.21911e-05,-0.000149331,-0.00282743,0.00110859,0.0311099,0.00332578,0.00110859,2.60984e-05,0.000132743,2.60984e-05,0.0697223
,,,,,,,,,,,,,,,,-0.180632,0.23517,0.00147493,-0.152082,-0.42545,0.10584,0.000184084,-0.0,-0.706237,-0.0,0.000420354,0.0058997,0.0057624,-0.000137305,-0.0,0.000116429,0.0031069,0.00163197,0.00012083,0.14112,-0.0827286,-0.000265116,-0.00737583,-0.005226,0.0043218,0.000155238,0.0399661,-4.40169e-06,0.00341413,2.92163e-05,-0.000214412,-0.00362854,0.0014406,0.03528,0.0043218,0.0014406,3.88096e-05,0.000154867,3.88096e-05,0.0753528
,,,,,,,,,,,,,,,,-0.201637,0.266526,-0.0,-0.14484,-0.45225,0.118148,0.000217229,-0.0,-0.699279,0.00067128,0.000553097,0.00884956,0.00725588,-0.00159368,-0.0,0.000165145,0.00352986,0.00352986,0.0001309,0.15753,-0.084823,-0.000332904,-0.00928746,-0.005226,0.00544191,0.000220193,0.0446134,3.42451e-05,0.0043363,4.02375e-05,-0.000297553,-0.00463385,0.00181397,0.0393826,0.00477063,0.00181397,5.50483e-05,0.000176991,5.50483e-05,0.0755355
