proportionalf_3.txt,integralf_3.txt,proportionalf_1.txt,integralf_1.txt,wrench_fz.txt,integralf_2.txt,integralf_4.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,proportionalf_2.txt,wrench_fy.txt,proportionalf_4.txt,wrench_my.txt,wrench_mz.txt,wrench_mx.txt,posa1.txt,error_vel_5.txt,trq1.txt,accd3.txt,error_vel_2.txt,veld4.txt,vela4.txt,posd4.txt,error_vel_1.txt,vela5.txt,veld1.txt,error_pos_2.txt,vela2.txt,accd4.txt,error_pos_1.txt,posd2.txt,accd5.txt,accd2.txt,trq3.txt,error_pos_4.txt,posa2.txt,posa5.txt,accd1.txt,posa3.txt,trq5.txt,vela3.txt,posd5.txt,veld2.txt,veld5.txt,error_pos_3.txt,posd1.txt,posa4.txt,posd3.txt,trq2.txt,vela1.txt,error_pos_5.txt,trq4.txt,veld3.txt,error_vel_4.txt,error_vel_3.txt
,,,,,,,,,,,,,,,,-0.0,0.00147493,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.03015,0.0,-0.0,4.42478e-05,0.0,0.0,-1.13068,0.0,2.21239e-05,0.0,0.00147493,0.0,0.0,-0.0,0.0,-0.0,-0.0,-2.21239e-05,-0.014484,0.0,0.0,0.0
,,,,,,,,,,,,,,,,-0.0,0.000233038,-0.0,-0.0238203,-0.000601319,9.32818e-05,-0.0,3.11329e-07,2.33205e-05,0.00147493,2.33205e-05,-9.83571e-06,0.00067128,0.0186096,7.78323e-08,2.33497e-07,0.0464909,0.0139572,-0.26465,3.11329e-07,1.00692e-05,4.42478e-05,0.0046524,-4.71239e-05,-1.09936,-0.0010472,3.76509e-05,6.99614e-05,0.00170796,4.67254e-05,7.78323e-08,-0.0,-3.98502e-07,-0.041808,-0.0,-6.59686e-06,0.021726,-0.000119401,9.32818e-05,0.000927797
,,,,,,,,,,,,,,,,-0.0,0.000927486,-0.0,-0.0472824,-0.0017354,0.000371259,0.00147493,2.48129e-06,9.28148e-05,0.00147493,9.28148e-05,-3.84159e-05,0.00201384,0.0369394,6.20322e-07,1.86097e-06,0.0922825,0.0277045,-0.36515,-4.17665e-05,4.02768e-05,6.63717e-05,0.00923484,-0.000282743,-1.08545,-0.0188496,5.78212e-05,0.000278445,0.00240241,0.000279567,6.20322e-07,4.42478e-05,-3.17605e-06,-0.083616,-0.0,-8.55047e-06,0.021726,-0.000475212,-0.00110367,0.0183743
,,,,,,,,,,,,,,,,-0.0,0.0035513,-0.0,-0.0703881,-0.00206177,0.000831141,0.00442478,8.34286e-06,0.000207785,-0.0,0.000207785,-6.42273e-05,0.00268512,0.0549907,2.08572e-06,6.25715e-06,0.137379,0.041243,-0.3886,-5.80288e-05,7.04845e-05,6.63717e-05,0.0137477,-0.000816814,-1.06109,-0.0439823,8.7214e-05,0.000623356,0.0035513,0.000806135,2.08572e-06,6.63717e-05,-1.06789e-05,0.005226,-0.0,2.08423e-05,0.03621,-0.00106386,-0.00359364,0.0429184
,,,,,,,,,,,,,,,,-0.0,0.00367275,-0.0,-0.0931392,-0.00158251,0.00147015,0.00442478,1.97012e-05,0.000367537,0.00147493,0.000367537,-7.5847e-05,0.00268512,0.072765,4.9253e-06,1.47759e-05,0.181782,0.0545737,-0.4154,-9.09183e-05,9.06229e-05,8.84956e-05,0.0181912,-0.00175929,-1.02978,-0.0816814,0.000130339,0.00110261,0.00514768,0.00173407,4.9253e-06,0.000110619,-2.52175e-05,0.114972,-0.0,4.18432e-05,0.032589,-0.00188179,-0.00295463,0.0797996
,,,,,,,,,,,,,,,,-0.0,0.00570972,-0.0,-0.115538,0.00104286,0.00228552,0.00147493,3.83337e-05,0.000571381,0.00147493,0.000571381,-7.19418e-05,0.00067128,0.0902637,9.58344e-06,2.87503e-05,0.225498,0.0676978,-0.4422,-0.000116534,0.000100692,0.000110619,0.0225659,-0.00274889,-1.00195,-0.0973894,0.000191636,0.00171414,0.00718465,0.00269983,9.58344e-06,0.000154867,-4.90672e-05,0.172458,-0.0,8.10167e-05,0.03621,-0.00292547,0.000810596,0.0944639
,,,,,,,,,,,,,,,,-0.0,0.00965535,-0.0,-0.137585,0.00245588,0.00327451,0.00442478,6.59904e-05,0.000818627,-0.0,0.000818627,-5.11993e-05,-0.0,0.107488,1.64976e-05,4.94928e-05,0.268528,0.0806161,-0.4891,-0.000111001,0.000100692,0.000132743,0.026872,-0.00376991,-0.991515,-0.101578,0.000275478,0.00245588,0.00965535,0.00368544,1.64976e-05,0.000176991,-8.44677e-05,0.214266,-0.0,0.000142734,0.039831,-0.00419137,-0.00115027,0.0973868
,,,,,,,,,,,,,,,,-0.0,0.011078,-0.0,-0.159283,0.00332578,0.00443438,0.00147493,0.000104394,0.00110859,0.00147493,0.00110859,-3.24661e-05,-0.0,0.12444,2.60984e-05,7.82951e-05,0.310876,0.0933298,-0.4891,-9.47215e-05,0.000110761,0.000132743,0.0311099,-0.00483805,-0.967162,-0.109956,0.000386166,0.00332578,0.0125529,0.00470443,2.60984e-05,0.000199115,-0.000133624,0.271752,-0.0,0.000253423,0.043452,-0.005676,0.00295945,0.10428
,,,,,,,,,,,,,,,,-0.0,0.0143957,-0.0,-0.180634,0.00365052,0.0057624,0.00147493,0.000155238,0.0014406,0.00147493,0.0014406,5.66752e-06,0.00067128,0.14112,3.88096e-05,0.000116429,0.352547,0.10584,-0.51255,-8.81244e-05,0.000110761,0.000154867,0.03528,-0.00601615,-0.946288,-0.116239,0.000527937,0.0043218,0.0158706,0.00581744,3.88096e-05,0.000243363,-0.000198705,0.303108,-0.0,0.000373069,0.039831,-0.00737587,0.00428747,0.108863
,,,,,,,,,,,,,,,,-0.0,0.0181267,-0.0,-0.201639,0.00477063,0.00725588,0.00442478,0.000220193,0.00181397,0.00147493,0.00181397,4.43143e-05,0.00067128,0.15753,5.50483e-05,0.000165145,0.393543,0.118148,-0.51925,-4.52937e-05,0.00012083,0.000176991,0.0393826,-0.00744557,-0.914977,-0.128805,0.000704956,0.00544191,0.0196016,0.00716373,5.50483e-05,0.000265487,-0.000281847,0.324012,-0.0,0.000527965,0.039831,-0.00928752,0.0028311,0.119518
