wrench_fz.txt,integralf_3.txt,wrench_my.txt,integralf_2.txt,wrench_mx.txt,integralf_4.txt,proportionalf_2.txt,wrench_fx.txt,proportionalf_1.txt,proportionalf_5.txt,integralf_1.txt,wrench_fy.txt,proportionalf_3.txt,integralf_5.txt,wrench_mz.txt,proportionalf_4.txt,accd3.txt,vela1.txt,accd5.txt,posd5.txt,posa3.txt,posd2.txt,vela2.txt,trq2.txt,error_vel_5.txt,trq5.txt,veld5.txt,posa5.txt,error_vel_3.txt,trq3.txt,posd4.txt,error_pos_2.txt,posd1.txt,trq1.txt,veld2.txt,posa1.txt,posa4.txt,error_pos_5.txt,veld1.txt,accd1.txt,vela4.txt,veld4.txt,error_pos_4.txt,error_vel_2.txt,error_pos_3.txt,vela3.txt,vela5.txt,posd3.txt,error_pos_1.txt,trq4.txt,posa2.txt,error_vel_1.txt,accd4.txt,error_vel_4.txt,accd2.txt,veld3.txt
,,,,,,,,,,,,,,,,0.0,-0.0,0.0,2.21239e-05,-3.14159e-05,0.0,-0.0,-0.005226,-0.00147493,-1.11328,0.0,4.42478e-05,-0.0010472,0.19765,4.42478e-05,0.0,0.0,-0.02613,0.0,-0.0,4.42478e-05,-2.21239e-05,0.0,0.0,-0.0,0.00147493,0.0,0.0,0.0,0.0,0.00147493,-3.14159e-05,0.0,-0.333132,-0.0,0.0,0.0,0.00147493,0.0,-0.0010472
,,,,,,,,,,,,,,,,-0.0120725,-0.0,0.00102909,2.21411e-05,-7.85398e-05,2.33497e-07,0.00067128,-0.020904,5.15839e-06,-1.08197,5.15839e-06,4.42478e-05,0.00308108,-0.03685,5.9121e-05,-9.83571e-06,7.78323e-08,-0.020904,6.99614e-05,-0.0,6.63717e-05,-2.21067e-05,2.33205e-05,0.0046524,-0.0,0.00151207,-7.25066e-06,-0.000601319,3.64499e-05,-0.00418879,-0.0,-4.20899e-05,7.78323e-08,-0.293301,1.00692e-05,2.33205e-05,0.00741047,0.00151207,0.0139572,-0.00110771
,,,,,,,,,,,,,,,,-0.0239635,-0.0,0.00204271,2.22611e-05,-0.000282743,1.86097e-06,0.00268512,-0.031356,2.05302e-05,-1.05414,2.05302e-05,6.63717e-05,0.0154671,-0.06365,7.47344e-05,-4.84851e-05,6.20322e-07,-0.020904,0.000278445,-0.0,0.000132743,-4.41106e-05,9.28148e-05,0.00923484,0.0058997,0.00162276,-5.8009e-05,-0.00240668,0.000228774,-0.0167552,-0.0,-5.39696e-05,6.20322e-07,-0.267954,5.0346e-05,9.28148e-05,0.0147094,-0.00427694,0.0277045,-0.00128804
,,,,,,,,,,,,,,,,-0.0356738,-0.0,0.00304093,2.25852e-05,-0.000534071,6.25715e-06,0.00402768,-0.067938,-0.00142896,-1.03326,4.59612e-05,6.63717e-05,0.0235464,-0.1139,9.18177e-05,-8.43657e-05,2.08572e-06,-0.020904,0.000623356,-0.0,0.000176991,-4.37864e-05,0.000207785,0.0137477,0.00442478,0.00180589,-8.51734e-05,-0.00340433,0.000465827,-0.0251327,0.00147493,-6.82441e-05,2.08572e-06,-0.249849,9.06229e-05,0.000207785,0.0218975,-0.00261889,0.041243,-0.00158638
,,,,,,,,,,,,,,,,-0.0472044,-0.0,0.00402383,2.32133e-05,-0.000911062,1.47759e-05,0.00402768,0.041808,-0.00139363,-1.00891,8.12977e-05,8.84956e-05,0.0367454,-0.15075,0.00011109,-0.000106055,4.9253e-06,-0.0,0.00110261,-0.0,0.000199115,-6.52822e-05,0.000367537,0.0181912,0.00147493,0.00206035,-8.80251e-05,-0.00292507,0.000824977,-0.0387463,0.00147493,-8.60845e-05,4.9253e-06,-0.242607,0.00012083,0.000367537,0.0289752,0.00058542,0.0545737,-0.00200092
,,,,,,,,,,,,,,,,-0.0585561,-0.0,0.00499149,2.42437e-05,-0.00166504,2.87503e-05,0.00067128,0.109746,0.000126387,-0.991515,0.000126387,8.84956e-05,0.0644908,-0.1474,0.000133259,-0.000102149,9.58344e-06,0.005226,0.00171414,-0.0,0.000221239,-6.42519e-05,0.000571381,0.0225659,0.00147493,0.00238503,-8.79802e-05,0.00104286,0.0015564,-0.0670206,-0.0,-0.000108644,9.58344e-06,-0.213639,0.0001309,0.000571381,0.035943,0.000910102,0.0676978,-0.00252987
,,,,,,,,,,,,,,,,-0.0697298,-0.0,0.00594398,2.57731e-05,-0.00248186,4.94928e-05,-0.0,0.162006,-0.00129385,-0.97412,0.000181077,0.000110619,0.0816516,-0.1541,0.000159021,-8.14069e-05,1.64976e-05,0.005226,0.00245588,-0.0,0.000243363,-8.48464e-05,0.000818627,0.026872,0.00147493,0.00277884,-8.43419e-05,0.00245588,0.0023448,-0.084823,0.00147493,-0.000137057,1.64976e-05,-0.206397,0.0001309,0.000818627,0.0428016,0.00130392,0.0806161,-0.00317145
,,,,,,,,,,,,,,,,-0.0807266,-0.0,0.00688139,2.78967e-05,-0.00339292,7.82951e-05,0.00067128,0.20904,-0.00122971,-0.956725,0.000245216,0.000132743,0.0808991,-0.2479,0.000189062,-6.26738e-05,2.60984e-05,0.005226,0.00332578,-0.0,0.000287611,-0.000104847,0.00110859,0.0311099,0.00147493,0.0032407,-9.85482e-05,0.0026545,0.00322048,-0.084823,0.00147493,-0.000172442,2.60984e-05,-0.199155,0.000140969,0.00110859,0.0495516,0.00176577,0.0933298,-0.00392388
,,,,,,,,,,,,,,,,-0.0915472,-0.0,0.00780379,3.07084e-05,-0.00460243,0.000116429,-0.0,0.250848,0.000318655,-0.928893,0.000318655,0.000132743,0.106218,-0.39865,0.000224058,-2.45401e-05,3.88096e-05,-0.0,0.0043218,-0.0,0.000331858,-0.000102035,0.0014406,0.03528,0.00442478,0.00376951,-0.0001078,0.0043218,0.00438653,-0.111003,-0.0,-0.000215899,3.88096e-05,-0.18105,0.000140969,0.0014406,0.0561934,-0.000655265,0.10584,-0.00478539
,,,,,,,,,,,,,,,,-0.102193,-0.0,0.00871125,3.43003e-05,-0.00562345,0.000165145,-0.0,0.276978,-0.00107368,-0.90454,0.000401242,0.000154867,0.10106,-0.4489,0.000264672,2.41759e-05,5.50483e-05,-0.0,0.00544191,-0.0,0.000376106,-0.000120567,0.00181397,0.0393826,0.00442478,0.00436421,-0.000111434,0.00544191,0.00535494,-0.106814,0.00147493,-0.000268508,5.50483e-05,-0.177429,0.000140969,0.00181397,0.0627276,-6.05709e-05,0.118148,-0.00575424
