proportionalf_2.txt,wrench_fz.txt,integralf_4.txt,proportionalf_5.txt,wrench_fy.txt,integralf_3.txt,proportionalf_4.txt,wrench_my.txt,integralf_1.txt,wrench_mz.txt,integralf_2.txt,integralf_5.txt,proportionalf_1.txt,wrench_mx.txt,proportionalf_3.txt,wrench_fx.txt,posd3.txt,posa3.txt,posa2.txt,accd1.txt,veld3.txt,trq1.txt,accd4.txt,vela2.txt,error_vel_3.txt,error_pos_5.txt,error_pos_1.txt,trq3.txt,posd5.txt,error_pos_2.txt,veld1.txt,posd4.txt,trq5.txt,trq2.txt,vela1.txt,error_vel_5.txt,veld2.txt,error_vel_4.txt,accd5.txt,error_vel_2.txt,posd2.txt,veld4.txt,posa5.txt,vela3.txt,error_pos_4.txt,posa1.txt,posd1.txt,error_vel_1.txt,trq4.txt,accd2.txt,vela5.txt,posa4.txt,vela4.txt,accd3.txt,veld5.txt,error_pos_3.txt
,,,,,,,,,,,,,,,,-1.5708e-05,-1.5708e-05,-0.0,0.0,0.0,-0.005226,0.0,-0.0,0.0,-2.21239e-05,0.0,0.26465,2.21239e-05,0.0,0.0,2.21239e-05,-0.967162,-0.0,-0.0,0.00147493,0.0,0.00147493,0.0,0.0,0.0,0.00147493,4.42478e-05,0.0,0.0,-0.0,0.0,0.0,-0.311406,0.0,-0.0,2.21239e-05,-0.0,0.0,0.00147493,0.0
,,,,,,,,,,,,,,,,-1.58636e-05,-6.28319e-05,-0.0,0.0139572,-4.66402e-05,-0.005226,0.00461923,-0.0,0.00100056,-7.35797e-06,2.33497e-07,-0.02345,3.68898e-05,7.78323e-08,6.99614e-05,3.69504e-05,-0.942809,-0.015678,-0.0,4.99319e-06,2.33205e-05,2.31542e-05,0.000996127,2.33205e-05,7.78323e-08,0.00149808,4.42478e-05,-0.0010472,-2.94212e-05,-0.0,2.33497e-07,6.99614e-05,-0.278817,0.0046524,0.00147493,6.63717e-05,0.00147493,-0.00930466,0.00147992,4.69682e-05
,,,,,,,,,,,,,,,,-1.69486e-05,-0.000235619,4.02768e-05,0.0277045,-0.000185627,-0.0,0.00916895,0.00201384,0.0134279,-1.46164e-05,1.86097e-06,-0.07705,5.17552e-05,-3.96565e-05,0.000278445,5.22383e-05,-0.925414,-0.05226,-0.0,1.98724e-05,9.28148e-05,-0.00433263,0.00197722,-0.00192103,6.20322e-07,0.00156708,6.63717e-05,-0.0136136,-8.0505e-05,-0.0,1.86097e-06,0.000278445,-0.260712,0.00923484,0.00147493,0.000132743,0.0058997,-0.0184694,0.0014948,0.000218671
,,,,,,,,,,,,,,,,-1.98793e-05,-0.000486947,8.05537e-05,0.041243,-0.000415564,-0.0,0.0136495,0.00469896,0.0215756,-2.16773e-05,6.25715e-06,-0.11725,6.68182e-05,-7.84679e-05,0.000623356,6.84425e-05,-0.911498,0.005226,-0.0,4.44877e-05,0.000207785,-0.00274355,0.00294335,-0.00449118,2.08572e-06,0.00168123,8.84956e-05,-0.0219911,-0.000108549,-0.0,6.25715e-06,0.000623356,-0.235365,0.0137477,0.00147493,0.000176991,0.00442478,-0.0274949,0.00151941,0.000467068
,,,,,,,,,,,,,,,,-2.55584e-05,-0.000895354,0.00012083,0.0545737,-0.000735063,-0.0,0.0180612,0.00402768,0.0338225,-2.8444e-05,1.47759e-05,-0.134,8.21755e-05,-0.000115905,0.00110261,8.60111e-05,-0.890624,0.094068,-0.0,7.86898e-05,0.000367537,-0.00258494,0.0038946,-0.00366015,4.9253e-06,0.00183984,0.000110619,-0.0345575,-0.000135228,-0.0,1.47759e-05,0.00110261,-0.206397,0.0181912,0.00147493,0.000221239,0.00442478,-0.0363819,0.00155362,0.000869795
,,,,,,,,,,,,,,,,-3.48745e-05,-0.00141372,0.00012083,0.0676978,-0.00114274,-0.0,0.0224045,0.00067128,0.0501699,-3.48213e-05,2.87503e-05,-0.134,9.7922e-05,-0.000111247,0.00171414,0.000105385,-0.873229,0.151554,-0.0,0.00012233,0.000571381,-0.00238255,0.00483104,-9.98999e-05,9.58344e-06,0.00204222,0.000132743,-0.0513127,-0.000137978,-0.0,2.87503e-05,0.00171414,-0.206397,0.0225659,0.00147493,0.000243363,0.00442478,-0.0451311,0.00159726,0.00137884
,,,,,,,,,,,,,,,,-4.87026e-05,-0.00199491,0.00012083,0.0806161,-0.00163723,-0.0,0.0266796,-0.0,0.0549114,-4.07157e-05,4.94928e-05,-0.134,0.000114152,-0.000104333,0.00245588,0.000126999,-0.862792,0.18291,-0.0,0.00165019,0.000818627,0.000812776,0.00575275,0.000818627,1.64976e-05,0.0022877,0.000154867,-0.0565487,-0.000160611,-0.0,4.94928e-05,0.00245588,-0.188292,0.026872,-0.0,0.000287611,0.00147493,-0.0537432,0.00165019,0.00194621
,,,,,,,,,,,,,,,,-6.79039e-05,-0.00274889,0.00012083,0.0933298,-0.00221715,-0.0,0.030887,-0.0,0.0648035,-4.60349e-05,7.82951e-05,-0.1273,0.000130956,-9.47321e-05,0.00332578,0.000151281,-0.83496,0.214266,-0.0,0.000237337,0.00110859,-0.00184919,0.00665981,0.00110859,2.60984e-05,0.00257559,0.000176991,-0.0670206,-0.000158454,-0.0,7.82951e-05,0.00332578,-0.166566,0.0311099,0.00147493,0.000309734,0.00442478,-0.0622189,0.00171226,0.00268099
,,,,,,,,,,,,,,,,-9.33259e-05,-0.00361283,0.0001309,0.10584,-0.00288115,-0.0,0.0350269,0.00067128,0.0819418,-5.06882e-05,0.000116429,-0.1675,0.000148427,-9.20901e-05,0.0043218,0.00017865,-0.814086,0.256074,-0.0,0.000308409,0.0014406,-0.00151956,0.00755228,0.00076932,3.88096e-05,0.00290522,0.000199115,-0.084823,-0.000197456,-0.0,0.000116429,0.0043218,-0.159324,0.03528,0.00147493,0.000376106,0.00442478,-0.0705589,0.00178334,0.00351951
,,,,,,,,,,,,,,,,-0.000125803,-0.0045396,0.0001309,0.118148,-0.00362788,0.005226,0.0390998,-0.0,0.0906199,-3.24626e-05,0.000165145,-0.29815,0.000166652,-7.58514e-05,0.00544191,0.000209522,-0.80017,0.292656,-0.0,0.000388334,0.00181397,-0.0026238,0.00843025,0.00181397,5.50483e-05,0.00327591,0.000199115,-0.0942478,-0.000232956,-0.0,0.000165145,0.00544191,-0.148461,0.0393826,0.00147493,0.000442478,0.0058997,-0.0787639,0.00186326,0.0044138
