wrench_mx.txt,wrench_mz.txt,wrench_fy.txt,proportionalf_4.txt,integralf_1.txt,wrench_fz.txt,integralf_3.txt,integralf_2.txt,wrench_my.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_4.txt,proportionalf_3.txt,wrench_fx.txt,proportionalf_5.txt,integralf_5.txt,accd4.txt,accd2.txt,trq1.txt,vela2.txt,posd2.txt,error_vel_2.txt,error_pos_3.txt,accd3.txt,trq3.txt,posd3.txt,veld2.txt,vela1.txt,posa3.txt,trq2.txt,trq5.txt,accd1.txt,posa4.txt,veld3.txt,error_pos_4.txt,vela4.txt,accd5.txt,posa1.txt,posa2.txt,posd1.txt,posd4.txt,error_vel_4.txt,vela3.txt,veld5.txt,posa5.txt,error_pos_5.txt,error_vel_1.txt,veld1.txt,error_pos_2.txt,vela5.txt,error_pos_1.txt,trq4.txt,error_vel_3.txt,veld4.txt,posd5.txt,error_vel_5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_5.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.3618,-1.5708e-05,0.0,-0.0,-1.5708e-05,-0.0,-0.828002,0.0,2.21239e-05,0.0,-2.21239e-05,0.00147493,0.0,-0.0,-0.0,0.0,0.0,-0.00147493,-0.0010472,0.0,2.21239e-05,0.0,0.0,0.0,0.0,0.00147493,0.0,-0.300543,0.0010472,0.0,2.21239e-05,-0.00147493,-1.81801,0.319176,-8.50568e-09,-0.00182153,0.988673
,,,,,,,,,,,,,,,,0.132982,0.0738787,-0.0,-0.0,1.24064e-06,0.000371259,4.61314e-05,-0.0591018,0.0,-1.67005e-05,0.000371259,-0.0,-6.28319e-05,-0.010452,-0.814086,0.221636,4.42478e-05,-0.000297002,-4.20146e-05,0.00147493,0.00817083,-0.0,1.00692e-05,3.72193e-06,2.23316e-06,-0.000806659,-0.0010472,4.10605e-05,4.42478e-05,-2.19867e-05,0.00111378,0.00111378,-8.82856e-06,0.00147493,3.72193e-06,-0.278817,0.000750196,0.000668267,2.22611e-05,-0.00143387,-2.25879,0.204384,0.0115278,-0.00198549,0.904387
,,,,,,,,,,,,,,,,0.261954,0.14553,-0.0,0.00201384,9.8506e-06,-0.000543691,0.000196323,-0.116422,-0.03685,-2.35883e-05,0.00147015,-0.0,-0.000219911,-0.031356,-0.80017,0.43659,0.000110619,-0.0011761,-9.28884e-05,0.00442478,0.0160953,-0.0,4.02768e-05,2.95518e-05,1.77311e-05,-0.00177851,-0.0125664,0.000162595,6.63717e-05,-4.31583e-05,0.00441045,0.00441045,-3.04262e-05,-0.0,2.95518e-05,-0.257091,0.0113903,0.00264627,2.32133e-05,0.000162595,-2.03326,0.2821,0.0154889,-0.00140074,1.01828
,,,,,,,,,,,,,,,,0.386957,0.214976,-0.005226,0.00402768,3.29952e-05,-0.000753174,0.000413427,-0.171978,-0.11055,-4.21036e-05,0.00327451,-0.0,-0.000455531,-0.083616,-0.775817,0.644929,0.000154867,-0.00261956,-9.54759e-05,0.0058997,0.0237759,-0.0,8.05537e-05,9.89855e-05,5.93913e-05,-5.58764e-06,-0.0188496,0.000362154,6.63717e-05,-4.05986e-05,0.00982353,0.00982353,-4.75585e-05,0.00147493,9.89855e-05,-0.242607,0.01623,0.00589412,2.57731e-05,-0.00111277,-2.62284,-0.058141,-0.00523565,-0.000785736,0.459422
,,,,,,,,,,,,,,,,0.508032,0.28224,-0.0,0.00402768,7.76192e-05,0.00173472,0.000817552,-0.225788,-0.17755,-7.78021e-05,0.0057624,-0.0,-0.000895354,0.067938,-0.754943,0.84672,0.000199115,-0.00460983,-5.94005e-05,0.00442478,0.0312151,-0.0,0.00012083,0.000232858,0.000139715,0.00594754,-0.0345575,0.000637309,8.84956e-05,-5.77872e-05,0.0172872,0.0172872,-4.32113e-05,0.00147493,0.000232858,-0.213639,0.0299477,0.0103723,3.07084e-05,-0.000837617,-3.46888,-0.477812,-0.0232157,0.000405564,-0.187576
,,,,,,,,,,,,,,,,0.625219,0.347344,-0.0,0.00268512,0.000150449,0.00622699,0.00149756,-0.27787,-0.23785,-0.000136065,0.00891211,-0.0,-0.00163363,0.125424,-0.73059,1.04203,0.000243363,-0.00712955,2.74458e-05,0.00147493,0.0384155,-0.0,0.0001309,0.000451348,0.000270809,0.0145669,-0.0659734,0.00098566,0.000110619,-7.18562e-05,0.0267363,0.0267363,1.95495e-05,0.00147493,0.000451348,-0.191913,0.0588439,0.0160418,3.87633e-05,-0.000489266,-2.35029,0.0795578,-0.0324336,-0.00150729,0.525799
,,,,,,,,,,,,,,,,0.738558,0.41031,-0.0,-0.0,0.000257996,0.0127022,0.00229117,-0.328242,-0.2747,-0.000222101,0.0127022,-0.0,-0.00251327,0.167232,-0.709716,1.23093,0.000287611,-0.0101615,0.000176782,0.00442478,0.0453794,-0.0,0.0001309,0.000773987,0.000464392,0.0184391,-0.0764454,0.00140483,0.000132743,-8.20857e-05,0.0381065,0.0381065,0.000127096,-0.0,0.000773987,-0.18105,0.0662839,0.0228639,5.06577e-05,0.00140483,-2.19589,0.174446,-0.00450628,-0.00105228,0.779138
,,,,,,,,,,,,,,,,0.84809,0.471161,-0.0,-0.0,0.000406556,0.0171113,0.00302056,-0.376922,-0.39865,-0.000340946,0.0171113,-0.0,-0.0033615,0.229944,-0.6958,1.41348,0.000353982,-0.0136887,0.000377818,0.0058997,0.0521094,-0.0,0.0001309,0.00121967,0.0007318,0.0249006,-0.084823,0.00189247,0.000132743,-6.56553e-05,0.0513338,0.0513338,0.000275656,0.00147493,0.00121967,-0.170187,0.0711343,0.0308003,6.70881e-05,0.000417543,-2.02082,0.230287,-0.00187158,-0.00158703,0.862418
,,,,,,,,,,,,,,,,0.953856,0.52992,-0.0,-0.0,0.000602214,0.0221184,0.0037908,-0.423928,-0.41875,-0.00049747,0.0221184,-0.0,-0.00428827,0.271752,-0.681884,1.58976,0.000442478,-0.0176944,0.000641508,0.0058997,0.058608,-0.0,0.000140969,0.00180664,0.00108399,0.0339134,-0.0890118,0.00244625,0.000154867,-6.61397e-05,0.0663552,0.0663552,0.000461245,0.00147493,0.00180664,-0.159324,0.0713174,0.0398131,8.87275e-05,0.000971322,-1.75486,0.490111,0.0245427,-0.0022421,1.24073
,,,,,,,,,,,,,,,,1.0559,0.586609,0.067938,0.00067128,0.000850848,0.0270315,0.00455009,-0.469278,-0.42545,-0.000696373,0.0277028,0.00067128,-0.00524646,0.308334,-0.667968,1.75983,0.000619469,-0.0221618,0.000912057,0.0147493,0.0648777,1.00692e-05,0.000151038,0.00255254,0.00153153,0.0351157,-0.0921534,0.00306387,0.000176991,-6.07653e-05,0.082437,0.0831083,0.00069981,0.00147493,0.00254247,-0.152082,0.0699916,0.049865,0.000116226,0.00158894,-1.97418,0.316715,-0.00633032,-0.002252,0.971865
