proportionalf_4.txt,proportionalf_2.txt,wrench_fy.txt,wrench_mz.txt,wrench_fx.txt,integralf_5.txt,wrench_fz.txt,proportionalf_5.txt,integralf_4.txt,integralf_2.txt,wrench_my.txt,integralf_1.txt,proportionalf_1.txt,proportionalf_3.txt,wrench_mx.txt,integralf_3.txt,error_vel_4.txt,accd5.txt,trq4.txt,vela4.txt,veld4.txt,error_vel_5.txt,error_vel_3.txt,error_pos_2.txt,veld1.txt,accd4.txt,vela2.txt,posa4.txt,veld3.txt,posd1.txt,trq3.txt,accd2.txt,posa3.txt,trq1.txt,trq2.txt,accd1.txt,posd3.txt,posa1.txt,error_pos_4.txt,vela3.txt,posa2.txt,error_pos_5.txt,error_pos_1.txt,veld2.txt,posd5.txt,error_vel_2.txt,posa5.txt,posd4.txt,error_vel_1.txt,posd2.txt,accd3.txt,vela1.txt,vela5.txt,trq5.txt,error_pos_3.txt,veld5.txt,estimated_trqs_5.txt,estimated_trqs_4.txt,estimated_trqs_2.txt,estimated_trqs_1.txt,estimated_trqs_3.txt
,,,,,,,,,,,,,,,,0.0,0.0,-0.238986,0.00147493,0.00147493,0.0,0.0,0.0,0.0,0.0,-0.0,4.42478e-05,0.0,0.0,0.2747,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-2.21239e-05,0.0,-0.0,-2.21239e-05,0.0,0.0,2.21239e-05,0.0,4.42478e-05,2.21239e-05,0.0,0.0,0.0,-0.0,0.00147493,-0.90454,0.0,0.00147493,-0.00210512,0.283302,0.942206,0.000889805,-1.85003
,,,,,,,,,,,,,,,,0.00154006,0.0102021,-0.220881,-0.0,0.00154006,0.00152606,-3.26486e-05,-9.96024e-06,9.32818e-05,0.0129936,-0.0,6.63717e-05,-3.26486e-05,3.11329e-07,-0.05695,0.00651336,-3.14159e-05,-0.0,-0.073164,0.0186096,-1.08965e-07,-0.0,-2.92811e-05,0.0,1.00692e-05,-2.93278e-05,3.11329e-07,3.26486e-05,3.70438e-05,3.26486e-05,6.63717e-05,3.70905e-05,9.32818e-05,1.08965e-07,-0.00651336,-0.0,-0.0,-0.876708,3.1307e-05,0.00152606,-0.00144859,0.284053,1.0415,0.0176947,-2.1548
,,,,,,,,,,,,,,,,-0.00269063,0.0202508,-0.206397,0.00442478,0.00173415,0.000203531,0.010342,-3.94084e-05,0.000371259,0.0257917,0.00268512,0.000110619,-0.000129941,2.48129e-06,-0.12395,0.0129288,-0.000172788,-0.0,-0.125424,0.0369394,-8.68451e-07,-0.0,-5.72646e-05,-0.010472,4.02768e-05,-3.55129e-05,2.48129e-06,0.000129941,5.29827e-05,-0.00255518,8.84956e-05,5.33549e-05,0.000371259,8.68451e-07,-0.0129288,-0.0,0.00147493,-0.862792,0.000171919,0.00167846,-0.00193324,0.332866,1.05288,0.00645405,-1.98972
,,,,,,,,,,,,,,,,-0.00679431,0.0301467,-0.191913,0.00884956,0.00205524,0.000455645,0.0164643,-8.77029e-05,0.000831141,0.0383953,0.00402768,0.000199115,-0.000290899,8.34286e-06,-0.1876,0.0192467,-0.000361283,-0.0,0.073164,0.0549907,-2.92e-06,-0.0,-0.000126918,-0.0167552,9.06229e-05,-1.75502e-05,8.34286e-06,0.000290899,7.09454e-05,-0.00373678,8.84956e-05,7.21968e-05,0.000831141,2.92e-06,-0.0192467,-0.0,0.00147493,-0.845397,0.000358363,0.00193057,-0.00159055,0.226601,0.886427,0.00417363,-2.05493
,,,,,,,,,,,,,,,,-0.00634815,0.0398907,-0.18105,0.00884956,0.00250141,0.000805958,0.0214766,-0.000134073,0.00147015,0.0508055,0.00469896,0.000309734,-0.000514552,1.97012e-05,-0.26465,0.0254677,-0.000644026,-0.0,0.125424,0.072765,-6.89542e-06,-0.0,-0.000214858,-0.0219911,0.000140969,-1.8698e-05,1.97012e-05,0.000514552,9.19215e-05,-0.00418441,0.000110619,9.48766e-05,0.00147015,6.89542e-06,-0.0254677,-0.0,0.00147493,-0.824523,0.000637131,0.00228088,-0.000970019,0.0279729,0.49046,-0.0232582,-2.39501
,,,,,,,,,,,,,,,,-0.00577885,0.0494836,-0.166566,0.00884956,0.00307071,0.00125296,0.0316632,-0.000147691,0.00228552,0.0630231,0.00268512,0.000420354,-0.000799933,3.83337e-05,-0.2881,0.0315923,-0.00105243,-0.0,0.203814,0.0902637,-1.34168e-05,-0.0,-0.000297719,-0.0324631,0.000161107,-1.5858e-05,3.83337e-05,0.000799933,0.000116885,-0.00188519,0.000132743,0.000122635,0.00228552,1.34168e-05,-0.0315923,-0.0,0.00147493,-0.810607,0.00103902,0.00272788,-0.0007881,-0.0557501,0.354997,-0.032453,-2.78186
,,,,,,,,,,,,,,,,-0.010988,0.0589261,-0.166566,0.0147493,0.00376123,0.00179513,0.052261,-0.000138011,0.00327451,0.0750493,0.00067128,0.000575221,-0.00114608,6.59904e-05,-0.31825,0.0376208,-0.00161792,-0.0,0.229944,0.107488,-2.30966e-05,-0.0,-0.000418526,-0.0534071,0.000161107,-8.07091e-06,6.59904e-05,0.00114608,0.000146796,0.000474798,0.000154867,0.000156695,0.00327451,2.30966e-05,-0.0376208,-0.0,0.00147493,-0.782775,0.00159482,0.00327005,-0.00246727,0.406592,1.07062,-0.0102702,-1.74117
,,,,,,,,,,,,,,,,-0.014603,0.0682189,-0.162945,0.019174,0.00457106,0.0039059,0.051855,-0.00012457,0.00443438,0.0868849,-0.0,0.000818584,-0.00155203,0.000104394,-0.41205,0.0435539,-0.00213628,-0.0,0.276978,0.12444,-3.65377e-05,-0.0,-0.000620326,-0.0534071,0.000161107,5.60755e-06,0.000104394,0.00155203,0.000182599,0.00155203,0.000176991,0.000198258,0.00443438,3.65377e-05,-0.0435539,-0.0,-0.0,-0.772338,0.00209975,0.0039059,-0.00187259,0.448136,1.13697,-0.0124344,-1.92076
,,,,,,,,,,,,,,,,-0.0254752,0.0773629,-0.170187,0.0309734,0.0054983,0.00315901,0.0587206,-0.000116843,0.0057624,0.0985309,-0.0,0.00121681,-0.00201684,0.000155238,-0.43215,0.049392,-0.00285885,-0.0,0.303108,0.14112,-5.43334e-05,-0.0,-0.000968307,-0.0607375,0.000171177,2.61067e-05,0.000155238,0.00201684,0.000225222,0.00201684,0.000199115,0.000248507,0.0057624,5.43334e-05,-0.049392,-0.0,0.00147493,-0.747985,0.00280452,0.00463394,-0.00261174,0.539095,1.2647,-0.0184759,-2.08741
,,,,,,,,,,,,,,,,-0.0465563,0.0863589,-0.177429,0.0530973,0.00654105,0.00397774,0.0739059,-9.4109e-05,0.00725588,0.109988,0.00067128,0.00183628,-0.00253956,0.000220193,-0.4489,0.0551356,-0.00361283,-0.0,0.329238,0.15753,-7.70676e-05,-0.0,-0.00152767,-0.0764454,0.000171177,5.43408e-05,0.000220193,0.00253956,0.00027558,0.00186828,0.000221239,0.000308609,0.00725588,7.70676e-05,-0.0551356,-0.0,0.00147493,-0.737548,0.00353576,0.00545267,-0.00203274,0.378131,1.01777,-0.0163263,-1.95321
