proportionalf_5.txt,wrench_fy.txt,proportionalf_3.txt,integralf_4.txt,integralf_5.txt,integralf_1.txt,proportionalf_4.txt,integralf_3.txt,wrench_my.txt,wrench_mz.txt,integralf_2.txt,proportionalf_1.txt,wrench_fz.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_2.txt,posa4.txt,posa5.txt,trq1.txt,error_vel_1.txt,trq4.txt,veld5.txt,error_vel_5.txt,error_pos_4.txt,trq3.txt,error_vel_4.txt,vela1.txt,vela2.txt,accd5.txt,error_pos_2.txt,veld4.txt,accd3.txt,posa3.txt,posd3.txt,error_pos_5.txt,accd1.txt,trq2.txt,posd1.txt,posd4.txt,posa1.txt,error_vel_2.txt,veld3.txt,trq5.txt,accd2.txt,posd5.txt,accd4.txt,veld2.txt,vela3.txt,vela4.txt,veld1.txt,posa2.txt,posd2.txt,error_vel_3.txt,error_pos_1.txt,vela5.txt,error_pos_3.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_3.txt,estimated_trqs_1.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,4.42478e-05,4.42478e-05,-0.005226,0.0,-0.409173,0.00147493,0.00147493,-2.21239e-05,0.3886,0.0,-0.0,-0.0,0.0,0.0,0.00147493,0.0,-0.000424115,-0.000235619,-2.21239e-05,0.0,-0.0,0.0,2.21239e-05,-0.0,0.0,-0.00942478,-0.852355,0.0,2.21239e-05,0.0,0.0,-0.0136136,0.00147493,0.0,-0.0,0.0,0.00418879,0.0,-0.0,0.000188496,0.169576,-0.00101245,-2.1074,-0.000631902,0.781435
,,,,,,,,,,,,,,,,8.84956e-05,6.63717e-05,-0.005226,0.000116602,-0.3621,0.00152606,5.11388e-05,-5.14673e-05,0.0,0.0015214,-0.0,-0.0,0.0102021,-1.00381e-05,0.0015214,-0.00630052,-0.00069115,-0.000329973,-2.93278e-05,0.023262,-0.067938,3.89162e-07,3.70283e-05,-0.0,9.32818e-06,-0.00945636,-0.841918,0.00186096,3.70438e-05,0.00927163,9.32818e-06,-0.0188496,-0.0,0.000116602,1.00692e-05,3.11329e-08,0.0093932,3.89162e-07,0.00147493,0.000361178,0.28934,-0.00179611,-2.06122,-0.000319561,0.962616
,,,,,,,,,,,,,,,,0.000154867,8.84956e-05,-0.005226,0.000464074,-0.336753,0.00167846,0.000203531,-0.000102009,-0.02345,-0.00276488,-0.0,0.00067128,0.0202508,-5.00979e-05,0.00165989,-0.012506,-0.00100531,-0.000424955,-3.55129e-05,0.0461742,-0.02613,3.10161e-06,5.28586e-05,-0.0,-0.000634155,-0.00955047,-0.817565,0.00369394,5.29827e-05,0.0184038,3.71259e-05,-0.0261799,0.00442478,0.000464074,5.0346e-05,2.48129e-07,0.0166295,3.10161e-06,0.00147493,0.000580355,0.347995,-0.00201459,-1.93948,0.028217,1.16894
,,,,,,,,,,,,,,,,0.000199115,0.000110619,-0.005226,0.00103893,-0.315027,0.00193057,0.000455645,-0.000128587,-0.11055,-0.00401069,-0.0,0.00402768,0.0301467,-8.97886e-05,0.00188901,-0.0186168,-0.00130376,-0.000521187,-3.96741e-05,0.0687384,0.10452,1.04286e-05,7.05282e-05,-0.0,-0.00394457,-0.00970616,-0.803649,0.00549907,7.09454e-05,0.0273972,8.31141e-05,-0.0314159,0.0058997,0.00103893,9.06229e-05,8.34286e-07,0.0217098,1.04286e-05,0.00147493,0.000782574,0.305241,-0.00179532,-1.82822,0.00751906,1.00179
,,,,,,,,,,,,,,,,0.000221239,0.000132743,-0.005226,0.00183769,-0.296922,0.00228088,0.000805958,-0.000130303,-0.17085,-0.0022174,-0.0,0.00469896,0.0398907,-0.000138999,0.00220738,-0.0246334,-0.00174358,-0.00061928,-4.08219e-05,0.0909563,0.141102,2.46265e-05,9.09364e-05,-0.0,-0.00455195,-0.00992249,-0.782775,0.0072765,9.19215e-05,0.0362525,0.000147015,-0.0314159,0.00442478,0.00183769,0.000140969,1.97012e-06,0.0214934,2.46265e-05,0.00147493,0.0011243,-0.137186,-0.000542172,-2.7258,-0.0109562,0.322334
,,,,,,,,,,,,,,,,0.000221239,0.000154867,-0.005226,0.0028569,-0.275196,0.00272788,0.00125296,-0.00010627,-0.2747,0.00113868,-0.0,0.00402768,0.0494836,-0.000157274,0.00261361,-0.0305564,-0.00238761,-0.000719836,-3.79819e-05,0.11283,0.167232,4.79172e-05,0.000114969,-0.0,-0.00379913,-0.0101985,-0.772338,0.00902637,0.000116885,0.0449704,0.000228552,-0.0481711,0.00147493,0.0028569,0.000161107,3.83337e-06,0.0379726,4.79172e-05,0.00147493,0.00166777,-0.0844854,-0.000668776,-2.65076,-0.0256718,0.330477
,,,,,,,,,,,,,,,,0.000243363,0.000176991,-0.010452,0.00409314,-0.25347,0.00327005,0.00179513,-9.9866e-05,-0.3551,0.0016314,-0.0,0.00201384,0.0589261,-0.000164577,0.00310633,-0.0363863,-0.00307876,-0.000823447,-3.01948e-05,0.13436,0.229944,8.2488e-05,0.000143497,-0.0,-0.00168639,-0.0105333,-0.744506,0.0107488,0.000146796,0.0535516,0.000327451,-0.0638791,0.00147493,0.00409314,0.000171177,6.59904e-06,0.0533457,8.2488e-05,0.00147493,0.00225531,0.0966233,-0.00118279,-2.26859,-0.0162991,0.615437
,,,,,,,,,,,,,,,,0.000287611,0.000199115,-0.0,0.00554297,-0.235365,0.0039059,0.00243098,-0.000110232,-0.45895,0.00220926,-0.0,0.00067128,0.0682189,-0.000160737,0.00368419,-0.0421234,-0.00381704,-0.000930695,-1.65163e-05,0.15555,0.266526,0.000130492,0.000177379,-0.0,-0.000227843,-0.0109259,-0.720153,0.012444,0.000182599,0.0619969,0.000443438,-0.0722566,0.00147493,0.00554297,0.000171177,1.04394e-05,0.0613307,0.000130492,0.00147493,0.00288634,0.346087,-0.00188276,-1.73172,-0.00546308,0.997674
,,,,,,,,,,,,,,,,0.000309734,0.000221239,-0.0,0.007203,-0.21726,0.00463394,0.00315901,-9.22747e-05,-0.5293,0.00287089,-0.0,-0.0,0.0773629,-0.000155653,0.00434582,-0.0477683,-0.0045396,-0.00104216,3.98277e-06,0.1764,0.297882,0.000194048,0.00021746,-0.0,0.00057624,-0.0113755,-0.706237,0.014112,0.000225222,0.0703069,0.00057624,-0.0701622,0.00147493,0.007203,0.000171177,1.55238e-05,0.0587868,0.000194048,0.00147493,0.00349745,0.208478,-0.00153085,-2.07102,-0.00235512,0.831263
,,,,,,,,,,,,,,,,0.000353982,0.000221239,-0.0,0.00906984,-0.202776,0.00545267,0.00397774,-8.94122e-05,-0.5494,0.00361495,-0.0,-0.0,0.0863589,-0.000149157,0.00508988,-0.0533214,-0.00538783,-0.00115839,5.43408e-05,0.196913,0.31356,0.000275241,0.00026457,-0.0,0.000725588,-0.011881,-0.692321,0.015753,0.00027558,0.0784824,0.000725588,-0.0753982,0.00147493,0.00906984,0.000171177,2.20193e-05,0.0635172,0.000275241,0.00147493,0.00422944,0.211164,-0.00158297,-2.19139,-0.000337544,0.855006
