integralf_4.txt,wrench_mx.txt,wrench_my.txt,proportionalf_3.txt,integralf_1.txt,wrench_fx.txt,wrench_mz.txt,proportionalf_1.txt,integralf_3.txt,integralf_2.txt,proportionalf_4.txt,integralf_5.txt,proportionalf_5.txt,wrench_fy.txt,wrench_fz.txt,proportionalf_2.txt,error_pos_1.txt,error_vel_3.txt,posd2.txt,veld4.txt,posa5.txt,accd4.txt,accd5.txt,posd4.txt,error_vel_1.txt,trq5.txt,error_vel_2.txt,veld2.txt,error_vel_5.txt,posa1.txt,veld3.txt,error_pos_3.txt,posa2.txt,trq3.txt,error_pos_4.txt,trq1.txt,posa3.txt,trq2.txt,veld5.txt,posd1.txt,accd3.txt,veld1.txt,accd2.txt,vela3.txt,error_pos_5.txt,posd3.txt,vela5.txt,vela4.txt,vela1.txt,error_pos_2.txt,vela2.txt,posd5.txt,error_vel_4.txt,accd1.txt,trq4.txt,posa4.txt,estimated_trqs_3.txt,estimated_trqs_2.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,0.0,-0.0010472,0.0,0.00147493,2.21239e-05,0.0,0.0,2.21239e-05,0.0,-1.16547,0.0,0.0,0.00147493,-0.0,-0.0010472,0.0,-0.0,0.2211,-2.21239e-05,-0.005226,-1.5708e-05,-0.0,0.00147493,0.0,0.0,0.0,0.0,0.0,0.0,-1.5708e-05,-0.0,0.00147493,-0.0,0.0,-0.0,2.21239e-05,0.0,0.0,-0.409173,4.42478e-05,-1.86956,0.956489,0.29639,-0.00175958,-0.000426205
,,,,,,,,,,,,,,,,3.72193e-06,-0.000949951,1.24064e-06,0.00221678,2.21239e-05,0.147625,0.00803985,3.93522e-05,0.00111378,-1.14459,0.000371259,0.000371259,0.00151533,-0.0,-0.00199715,3.34774e-05,1.00692e-05,-0.0201,-2.70195e-05,-0.005226,-6.28319e-05,-0.015678,0.00151533,3.72193e-06,-0.189035,0.00111378,0.0738787,-0.0010472,1.48843e-05,-2.93544e-05,-0.0,0.00147493,-0.0,-8.82856e-06,-0.0,3.70082e-05,0.000741853,0.221636,-0.354858,6.63717e-05,-2.15591,0.968362,0.249683,-0.0013237,0.0130093
,,,,,,,,,,,,,,,,2.95518e-05,0.00566307,9.8506e-06,0.00441259,4.42478e-05,0.290798,0.0158369,7.13059e-05,0.00441045,-1.1098,-0.000543691,0.00147015,0.000159988,-0.0,-0.00480891,0.000158055,4.02768e-05,-0.11055,-6.14374e-05,-0.005226,-0.000219911,-0.020904,0.00163491,2.95518e-05,-0.372371,0.00441045,0.14553,-0.010472,8.44662e-06,-6.18569e-05,0.00147493,0.00442478,-0.0,-3.04262e-05,0.00201384,5.26944e-05,-1.21927e-05,0.43659,-0.329511,0.000132743,-2.47747,0.714604,0.0641939,-0.00158214,0.0126444
,,,,,,,,,,,,,,,,9.89855e-05,0.015707,3.29952e-05,0.00801806,4.42478e-05,0.429565,0.0233935,0.000132303,0.00982353,-1.09241,-0.000753174,0.00327451,0.00183126,-0.0,-0.00942576,0.000386813,8.05537e-05,-0.18425,-4.46884e-05,-0.0,-0.000518363,-0.047034,0.00183126,9.89855e-05,-0.550064,0.00982353,0.214976,-0.0251327,2.57145e-05,-0.000131549,-0.0,0.00442478,-0.0,-4.75585e-05,0.00402768,6.99623e-05,0.00359328,0.644929,-0.296922,0.000176991,-2.90005,0.312766,-0.158893,-0.000130984,-0.00871366
,,,,,,,,,,,,,,,,0.000232858,0.0313323,7.76192e-05,0.0129894,6.63717e-05,0.563971,0.0307121,0.00023622,0.0172872,-1.06805,0.00173472,0.0057624,0.000627064,-0.0,-0.0157916,0.000890479,0.000110761,-0.23115,3.71047e-05,-0.0,-0.00114668,0.031356,0.00210199,0.000232858,-0.722173,0.0172872,0.28224,-0.0471239,2.31959e-05,-0.000256202,0.00147493,0.00442478,-0.0,-3.31421e-05,0.00402768,8.95676e-05,0.00856457,0.84672,-0.278817,0.000199115,-3.57276,-0.324954,-0.557451,0.00026045,-0.0291583
,,,,,,,,,,,,,,,,0.000451348,0.0557362,0.000150449,0.0192831,6.63717e-05,0.69406,0.0377953,0.000396498,0.0267363,-1.04718,0.00689827,0.00891211,0.00244472,-0.0,-0.0238508,0.00152618,0.0001309,-0.3082,0.000175259,-0.0,-0.0019792,0.109746,0.00244472,0.000451348,-0.888754,0.0267363,0.347344,-0.079587,4.58705e-05,-0.000453026,-0.0,-0.0,-0.0,1.95495e-05,0.00201384,0.000112242,0.0192831,1.04203,-0.249849,0.000221239,-2.39236,0.564416,0.0633242,-0.000708571,-0.0184473
,,,,,,,,,,,,,,,,0.000773987,0.0575578,0.000257996,0.0268563,8.84956e-05,0.819877,0.0446455,0.000626146,0.0381065,-1.01935,0.0120309,0.0127022,0.00138219,-0.0,-0.0335484,0.00216729,0.0001309,-0.3685,0.000382784,-0.0,-0.00290597,0.172458,0.00285712,0.000773987,-1.04987,0.0381065,0.41031,-0.0911062,5.01987e-05,-0.000738679,0.00147493,0.00147493,-0.0,0.000127096,0.00067128,0.000138694,0.0253814,1.23093,-0.224502,0.000243363,-1.92613,0.928896,0.303565,-0.00217982,-0.0104641
,,,,,,,,,,,,,,,,0.00121967,0.0494177,0.000406556,0.0356665,0.000110619,0.941468,0.0512651,0.000937747,0.0513338,-1.00543,0.0171113,0.0171113,0.00333686,-0.0,-0.0448301,0.00278201,0.0001309,-0.4489,0.000672261,-0.0,-0.00391128,0.214266,0.00333686,0.00121967,-1.20557,0.0513338,0.471161,-0.0942478,5.89896e-05,-0.00112927,-0.0,0.00442478,-0.0,0.000275656,-0.0,0.000169609,0.0312418,1.41348,-0.213639,0.000265487,-2.32945,0.669109,0.0940373,-0.000825922,-0.00433965
,,,,,,,,,,,,,,,,0.00179657,0.0470779,0.000602214,0.0456717,0.000110619,1.05888,0.0576565,0.00134346,0.0663552,-0.970641,0.0221184,0.0221184,0.00240673,1.00692e-05,-0.0576419,0.00333904,0.0001309,-0.4757,0.00103373,0.005226,-0.00497942,0.245622,0.00388166,0.00180664,-1.35591,0.0663552,0.52992,-0.10472,9.50289e-05,-0.00164038,0.00147493,0.00442478,-0.0,0.000471315,-0.0,0.000205648,0.0412469,1.58976,-0.206397,0.000309734,-2.04946,0.896936,0.229482,-0.00146831,0.0307891
,,,,,,,,,,,,,,,,0.0025324,0.0380251,0.000850848,0.0568303,0.000132743,1.17215,0.0638223,0.00185503,0.082437,-0.960204,0.0270315,0.0277028,0.00301432,2.01384e-05,-0.0719306,0.00382336,0.000140969,-0.55945,0.00147892,0.094068,-0.0061104,0.292656,0.00448924,0.00255254,-1.50096,0.0831083,0.586609,-0.109956,0.000114708,-0.00228704,0.00147493,0.00442478,0.00067128,0.000709879,0.00067128,0.000247452,0.0524055,1.75983,-0.177429,0.000376106,-2.53931,0.629721,0.0659898,-0.00129186,0.042122
