integralf_3.txt,wrench_fx.txt,proportionalf_2.txt,wrench_my.txt,proportionalf_3.txt,wrench_mz.txt,integralf_5.txt,wrench_mx.txt,proportionalf_5.txt,integralf_4.txt,proportionalf_4.txt,integralf_2.txt,proportionalf_1.txt,wrench_fy.txt,integralf_1.txt,wrench_fz.txt,trq5.txt,veld3.txt,error_vel_4.txt,trq3.txt,posd1.txt,error_pos_4.txt,vela2.txt,error_pos_1.txt,trq1.txt,error_vel_2.txt,accd5.txt,error_vel_1.txt,accd4.txt,posd4.txt,vela3.txt,error_vel_3.txt,veld4.txt,error_pos_2.txt,error_vel_5.txt,error_pos_5.txt,accd1.txt,veld2.txt,posd5.txt,posa5.txt,posd2.txt,posd3.txt,vela5.txt,trq4.txt,vela1.txt,posa3.txt,posa2.txt,error_pos_3.txt,posa1.txt,accd2.txt,posa4.txt,veld5.txt,accd3.txt,vela4.txt,veld1.txt,trq2.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_5.txt,estimated_trqs_3.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,-0.013916,0.0,0.0,-0.03015,0.000926367,0.0,-0.0,-0.000332284,-0.909324,0.0,0.0,0.00201384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.014484,0.0328927,0.0,-0.0,0.0,0.00125865,0.0,-0.0,0.0,0.0,-0.0,0.0349066,-0.0,0.294775,0.0800874,-0.00133065,-1.86872,0.975449
,,,,,,,,,,,,,,,,0.003479,-0.000119401,9.32818e-05,-0.25125,0.00127589,3.11329e-07,-0.0,-0.00029491,-0.799578,9.32818e-05,0.00530374,0.00013597,0.0186096,3.11329e-07,-0.0010472,0.000927797,9.32818e-05,3.11329e-07,2.65853e-05,8.87288e-08,0.0271256,9.32818e-05,8.87288e-08,-0.0,3.11329e-07,-3.98502e-07,-0.0,0.043452,0.0349066,-6.28319e-05,-0.0,6.24334e-05,0.0015708,0.0186096,-0.0,2.65853e-05,-0.0238203,-0.0,0.0350426,-0.015678,0.108842,-0.417635,-0.00358665,-2.44986,0.660166
,,,,,,,,,,,,,,,,0.027832,-0.000475212,-0.00110367,-0.3685,0.00162812,-1.96426e-05,0.00201384,-0.000133996,-0.668928,-0.00164258,0.0105277,0.0112816,0.0369394,2.48129e-06,-0.015708,0.0152328,0.000371259,-2.77263e-05,0.000105809,7.07167e-07,0.053842,0.000371259,7.07167e-07,-0.0,2.48129e-06,-3.17605e-06,-0.0,0.043452,0.0241661,-0.000282743,3.02076e-05,0.000279567,0.00176211,0.0369394,2.21239e-05,0.000105809,-0.0472824,0.00147493,0.0354477,-0.057486,-0.200921,-0.245509,-0.00170307,-3.03641,0.218563
,,,,,,,,,,,,,,,,0.024353,-0.00106386,-0.000643785,-0.3886,0.00198573,-3.59049e-05,0.00268512,2.22297e-05,-0.580086,-0.00185398,0.0156724,0.0179935,0.0549907,8.34286e-06,-0.0408407,0.0397768,0.000831141,-6.21416e-05,0.000236875,2.37772e-06,0.0801513,0.000831141,2.37772e-06,-0.0,8.34286e-06,-1.06789e-05,-0.0,0.043452,0.0181246,-0.000863938,7.04845e-05,0.000853259,0.0019635,0.0549907,4.42478e-05,0.000236875,-0.0703881,0.00147493,0.036118,-0.0,-0.415214,0.158977,0.000979284,-3.5264,0.0502023
,,,,,,,,,,,,,,,,-0.017395,-0.00188179,-4.77613e-06,-0.41875,0.00235135,-6.87944e-05,0.00402768,0.000126052,-0.512148,-0.00255753,0.020738,0.0148972,0.072765,1.97012e-05,-0.0764454,0.0745636,0.00147015,-8.09909e-05,0.000418993,5.61484e-06,0.106055,0.00147015,5.61484e-06,-0.0,1.97012e-05,-2.52175e-05,-0.0,0.047073,0.0221523,-0.00175929,0.000100692,0.00173407,0.00222529,0.072765,8.84956e-05,0.000418993,-0.0931392,0.00147493,0.0370494,0.07839,-0.0812297,-0.0293242,-0.00069973,-2.74168,0.326979
,,,,,,,,,,,,,,,,0.024353,-0.00292547,-0.00213926,-0.4489,0.00272757,-9.44096e-05,0.00201384,0.000351237,-0.397176,0.000271681,0.0257251,0.0160855,0.0902637,3.83337e-05,-0.095295,0.0923695,0.00228552,-8.24967e-05,0.000651374,1.09251e-05,0.131557,0.00228552,1.09251e-05,-0.0,3.83337e-05,-4.90672e-05,-0.0,0.047073,0.0221523,-0.0027646,0.00012083,0.00271553,0.00237633,0.0902637,0.000132743,0.000651374,-0.115538,0.00442478,0.0382378,0.141102,0.155142,-0.659959,-0.00472963,-2.17259,0.527926
,,,,,,,,,,,,,,,,-0.017395,-0.00419137,-0.00115027,-0.49915,0.00311695,-0.000111001,0.00067128,0.000740613,-0.28743,0.00260323,0.0306341,0.0336377,0.107488,6.59904e-05,-0.101578,0.0973868,0.00327451,-5.48401e-05,0.000933235,1.88073e-05,0.156657,0.00327451,1.88073e-05,-0.0,6.59904e-05,-8.44677e-05,-0.0,0.039831,0.00604152,-0.00380133,0.00012083,0.00371686,0.00237633,0.107488,0.000176991,0.000933235,-0.137585,0.00442478,0.0396792,0.193362,0.102235,-0.332896,-0.00291247,-2.30206,0.566659
,,,,,,,,,,,,,,,,-0.0,-0.005676,9.5972e-06,-0.47905,0.00352198,-9.47215e-05,-0.0,0.00115572,-0.224718,0.00443438,0.0354653,0.0433835,0.12444,0.000104394,-0.111003,0.105327,0.00443438,-2.65062e-05,0.0012638,2.97522e-05,0.181358,0.00443438,2.97522e-05,-0.0,0.000104394,-0.000133624,-0.0,0.043452,-0.00201384,-0.00494801,0.0001309,0.00481438,0.00236626,0.12444,0.000199115,0.0012638,-0.159283,0.00442478,0.0413696,0.229944,0.156535,0.086926,-0.000965903,-2.11294,0.816301
,,,,,,,,,,,,,,,,-0.010437,-0.00737587,0.00428747,-0.5092,0.00394515,-8.81244e-05,0.00067128,0.00157889,-0.167232,0.00509112,0.0402192,0.043305,0.14112,0.000155238,-0.116239,0.108863,0.0057624,2.43387e-05,0.00164228,4.42429e-05,0.205662,0.0057624,4.42429e-05,-0.0,0.000155238,-0.000198705,-0.0,0.039831,-0.0,-0.00609469,0.0001309,0.00589598,0.00236626,0.14112,0.000243363,0.00164228,-0.180634,0.00147493,0.043305,0.276978,0.16775,-0.00727711,-0.00144636,-2.2627,0.764388
,,,,,,,,,,,,,,,,0.010437,-0.00928752,0.0028311,-0.5159,0.00438889,-4.52937e-05,0.00067128,0.00202262,-0.114972,0.0065846,0.0448961,0.0454815,0.15753,0.000220193,-0.126711,0.117423,0.00725588,7.92241e-05,0.00206792,6.2755e-05,0.229572,0.00725588,6.2755e-05,-0.0,0.000220193,-0.000281847,-0.0,0.032589,-0.0,-0.00738274,0.000140969,0.0071009,0.00236626,0.15753,0.000265487,0.00206792,-0.201639,0.00442478,0.0454815,0.318786,-0.019125,-0.0094443,-0.000876217,-2.46185,0.487168
