proportionalf_3.txt,integralf_3.txt,wrench_mz.txt,integralf_5.txt,proportionalf_2.txt,integralf_2.txt,wrench_fz.txt,proportionalf_5.txt,proportionalf_1.txt,wrench_mx.txt,wrench_my.txt,wrench_fy.txt,integralf_4.txt,wrench_fx.txt,integralf_1.txt,proportionalf_4.txt,posd4.txt,trq1.txt,error_pos_4.txt,veld2.txt,error_vel_2.txt,error_vel_1.txt,accd1.txt,vela3.txt,posa2.txt,trq3.txt,error_vel_3.txt,posd1.txt,trq5.txt,error_pos_5.txt,veld4.txt,veld1.txt,vela4.txt,error_pos_3.txt,veld3.txt,error_vel_4.txt,posa5.txt,vela5.txt,error_pos_2.txt,posd5.txt,veld5.txt,trq2.txt,accd2.txt,posa1.txt,accd5.txt,trq4.txt,posd2.txt,accd3.txt,vela1.txt,posa4.txt,vela2.txt,posd3.txt,posa3.txt,error_vel_5.txt,error_pos_1.txt,accd4.txt,estimated_trqs_1.txt,estimated_trqs_2.txt,estimated_trqs_4.txt,estimated_trqs_3.txt,estimated_trqs_5.txt
,,,,,,,,,,,,,,,,0.0,-0.015678,-2.21239e-05,0.0,0.0,0.0,0.0,-0.0010472,-0.0,0.3685,0.0010472,0.0,-0.848876,-2.21239e-05,0.0,0.0,-0.0,0.0,0.0,0.0,4.42478e-05,-0.0,0.0,2.21239e-05,0.00147493,-0.0,0.0,-0.0,0.0,-0.300543,0.0,0.0,-0.0,2.21239e-05,-0.0,-1.5708e-05,-1.5708e-05,0.00147493,0.0,0.0,-0.000463599,1.06727,0.377788,-1.7345,-0.00159969
,,,,,,,,,,,,,,,,3.11329e-07,-0.015678,-4.39365e-05,6.99614e-05,6.99614e-05,2.33205e-05,0.0046524,0.0,1.00692e-05,-0.00335,-0.0001194,7.78323e-08,-0.824523,-7.28646e-06,9.32818e-05,2.33205e-05,0.00147493,4.67254e-05,-0.0001194,-0.00138164,4.42478e-05,0.00147493,-9.83571e-06,3.69613e-05,0.00150135,-0.0,0.0139572,-0.0,0.00527057,-0.246228,2.33497e-07,-0.0238202,-0.0,4.42478e-05,-0.0,-1.61065e-05,-6.28319e-05,2.64191e-05,7.78323e-08,0.0186096,0.00429364,0.918899,0.249435,-2.00342,-0.00204479
,,,,,,,,,,,,,,,,2.48129e-06,-0.015678,-8.60143e-05,0.000278445,-0.000392836,9.28148e-05,0.00923484,-0.00418879,4.02768e-05,-0.02345,0.00371358,6.20322e-07,-0.817565,-1.40465e-05,0.000371259,9.28148e-05,0.00147493,0.000169612,-0.000475209,-0.00110367,6.63717e-05,-0.0,-3.84159e-05,5.23252e-05,0.00158007,-0.015678,0.0277045,-0.0,0.0104618,-0.228123,1.86097e-06,-0.0472821,-0.0,8.84956e-05,0.00067128,-1.8884e-05,-0.000188496,0.00158007,6.20322e-07,0.0369394,0.0118008,1.01496,0.285694,-2.12375,-0.00143304
,,,,,,,,,,,,,,,,8.34286e-06,-0.015678,-0.000146524,0.000623356,-0.00206177,0.000207785,0.0137477,-0.0136136,7.04845e-05,-0.0737,0.0125497,2.08572e-06,-0.793212,-1.97611e-05,0.000831141,0.000207785,0.0058997,0.000334896,-0.00106385,-0.00506856,8.84956e-05,0.00147493,-6.42273e-05,6.87345e-05,0.00171032,-0.062712,0.041243,-0.0,0.0155742,-0.206397,6.25715e-06,-0.0703877,-0.0,0.000154867,0.00268512,-2.63868e-05,-0.000361283,0.000235393,2.08572e-06,0.0549907,0.0116926,0.898673,0.211912,-2.06631,-0.00155981
,,,,,,,,,,,,,,,,1.97012e-05,-0.015678,-0.000179414,0.00110261,-0.00292507,0.000367537,0.0181912,-0.0188496,0.000100692,-0.1541,0.0169678,4.9253e-06,-0.782775,-1.79493e-06,0.00147015,0.000367537,0.00442478,0.000650225,-0.00188178,-0.00295463,8.84956e-05,0.00147493,-8.59162e-05,8.67006e-05,0.00189129,0.057486,0.0545737,-0.0,0.020608,-0.191913,1.47759e-05,-0.0931386,-0.0,0.000199115,0.00402768,-4.09253e-05,-0.00069115,0.000416369,4.9253e-06,0.072765,-0.0245586,0.394186,-0.0401648,-2.54941,-0.000785412
,,,,,,,,,,,,,,,,3.83337e-05,-0.010452,-0.000205029,0.00171414,-0.0002997,0.000571381,0.0225659,-0.0324631,0.000110761,-0.2077,0.0295377,9.58344e-06,-0.761901,-3.89256e-06,0.00228552,0.000571381,0.00442478,0.00117615,-0.00292545,-0.00213926,0.000110619,0.00147493,-8.2011e-05,0.000106727,0.00212222,0.088842,0.0676978,-0.0,0.0255637,-0.177429,2.87503e-05,-0.115537,-0.0,0.000243363,0.00201384,-6.47748e-05,-0.00124093,0.000647292,9.58344e-06,0.0902637,-0.0247242,0.00248356,-0.337262,-3.24971,-0.000391915
,,,,,,,,,,,,,,,,6.59904e-05,-0.010452,-0.000199496,0.00245588,0.0017846,0.000818627,0.026872,-0.0607375,0.000110761,-0.29145,0.0565461,1.64976e-05,-0.747985,-3.43446e-06,0.00327451,0.000818627,0.00442478,0.00191044,-0.00419135,-0.00115027,0.000132743,-0.0,-6.12685e-05,0.000129309,0.00240231,0.135876,0.0806161,-0.0,0.0304417,-0.173808,4.94928e-05,-0.137584,-0.0,0.000265487,0.00067128,-0.000100175,-0.00201062,0.00240231,1.64976e-05,0.107488,-0.0122301,0.480029,-0.0196889,-2.55839,-0.000492109
,,,,,,,,,,,,,,,,0.000104394,-0.010452,-0.000227465,0.00332578,0.00332578,0.00110859,0.0311099,-0.0753982,0.000110761,-0.3216,0.0697223,2.60984e-05,-0.727111,2.21911e-05,0.00443438,0.00110859,0.00442478,0.0026781,-0.00567597,9.5972e-06,0.000132743,0.00147493,-3.24661e-05,0.000154934,0.00273079,0.193362,0.0933298,-0.0,0.0352424,-0.162945,7.82951e-05,-0.159282,-0.0,0.000331858,-0.0,-0.000149331,-0.00282743,0.00125587,2.60984e-05,0.12444,-0.00439197,0.811891,0.197554,-2.14393,-0.00150817
,,,,,,,,,,,,,,,,0.000155238,-0.005226,-0.000265116,0.0043218,0.0043218,0.0014406,0.03528,-0.0827286,0.00012083,-0.42545,0.0753528,3.88096e-05,-0.706237,2.92163e-05,0.0057624,0.0014406,0.0058997,0.00341413,-0.00737583,-0.000137305,0.000154867,0.00147493,-4.40169e-06,0.000184084,0.0031069,0.23517,0.10584,-0.0,0.0399661,-0.152082,0.000116429,-0.180632,-0.0,0.000420354,-0.0,-0.000214412,-0.00362854,0.00163197,3.88096e-05,0.14112,0.00264912,1.07959,0.369248,-1.83254,-0.00240046
,,,,,,,,,,,,,,,,0.000220193,-0.005226,-0.000332904,0.00544191,0.00477063,0.00181397,0.0393826,-0.084823,0.0001309,-0.45225,0.0755355,5.50483e-05,-0.699279,4.02375e-05,0.00725588,0.00181397,0.00884956,0.0043363,-0.00928746,-0.00159368,0.000176991,-0.0,3.42451e-05,0.000217229,0.00352986,0.266526,0.118148,-0.0,0.0446134,-0.14484,0.000165145,-0.201637,-0.0,0.000553097,0.00067128,-0.000297553,-0.00463385,0.00352986,5.50483e-05,0.15753,-0.00613499,0.938751,0.293327,-2.0265,-0.00140241
,,,,,,,,,,,,,,,,0.000300898,-0.005226,-0.000451314,0.00668408,0.0060128,0.00222803,0.043418,-0.0911062,0.000140969,-0.48575,0.0796988,7.52246e-05,-0.678405,7.78433e-05,0.00891211,0.00222803,0.0132743,0.00517547,-0.0114074,-0.00436223,0.000176991,0.00147493,8.47049e-05,0.000254834,0.00399891,0.292656,0.130254,-0.0,0.0491845,-0.141219,0.000225674,-0.222299,-0.0,0.000752212,0.00067128,-0.000400856,-0.00557633,0.00252399,7.52246e-05,0.173672,-0.00628845,1.08333,0.398272,-1.8388,-0.00209304
,,,,,,,,,,,,,,,,0.000398969,-0.005226,-0.000662978,0.00804632,0.00737504,0.00268211,0.0473866,-0.0942478,0.000140969,-0.49915,0.0805155,9.97422e-05,-0.671447,9.8243e-05,0.0107284,0.00268211,0.019174,0.00603954,-0.0137323,-0.00844562,0.000199115,0.00147493,0.000158258,0.000297358,0.0045133,0.329238,0.14216,-0.0,0.0536799,-0.14484,0.000299227,-0.242618,-0.0,0.00106195,0.00067128,-0.000526385,-0.00656593,0.00303837,9.97422e-05,0.189546,-0.0223478,1.03218,0.397948,-2.0591,-0.00252192
,,,,,,,,,,,,,,,,0.000515992,-0.0,-0.00109905,0.00952661,0.00952661,0.00317554,0.0512887,-0.10472,0.000151038,-0.50585,0.0884611,0.000128998,-0.657531,0.00012401,0.0127022,0.00317554,0.0324484,0.00703644,-0.0162587,-0.0197462,0.000221239,-0.0,0.000235956,0.000345249,0.00507226,0.344916,0.153866,-0.0,0.0580999,-0.148461,0.000386994,-0.262597,-0.0,0.00161504,-0.0,-0.000676173,-0.00771261,0.00507226,0.000128998,0.205155,-0.0221625,1.29713,0.568736,-2.12118,-0.00233309
,,,,,,,,,,,,,,,,0.000653528,-0.0,-0.00155886,0.011123,0.0104517,0.00370766,0.0551248,-0.122522,0.000161107,-0.6097,0.103539,0.000163382,-0.647094,0.00017771,0.0148306,0.00370766,0.0575221,0.00814844,-0.0189831,-0.0426915,0.000221239,0.00147493,0.000329038,0.000398949,0.00567505,0.376272,0.165374,-0.0,0.0624451,-0.162945,0.000490146,-0.282237,-0.0,0.00221239,0.00067128,-0.000852218,-0.00900066,0.00420012,0.000163382,0.220499,-0.00723345,1.05334,0.376989,-1.88768,-0.00243198
,,,,,,,,,,,,,,,,0.000813112,0.005226,-0.0019745,0.0128334,0.0121622,0.00427781,0.0588952,-0.126711,0.000171177,-0.75375,0.104809,0.000203278,-0.629699,0.000215531,0.0171113,0.00427781,0.0634218,0.00931077,-0.0219023,-0.0463106,0.000243363,-0.0,0.000438657,0.000458894,0.00632091,0.412854,0.176685,-0.0,0.0667157,-0.155703,0.000609834,-0.301541,-0.0,0.00278761,0.00067128,-0.00105648,-0.0103673,0.00632091,0.000203278,0.235581,0.0125259,0.673767,0.0695818,-1.94303,-0.000667768
,,,,,,,,,,,,,,,,0.000996251,-0.0,-0.00221171,0.014656,0.0139848,0.00488535,0.0626001,-0.123569,0.000181246,-0.96145,0.0985565,0.000249063,-0.615783,0.000260022,0.0195414,0.00488535,0.0501475,0.0101288,-0.0250128,-0.0306061,0.000265487,0.00147493,0.000565943,0.000525509,0.00700911,0.433758,0.1878,-0.0,0.0709122,-0.105009,0.000747188,-0.320511,-0.0,0.00320796,0.00067128,-0.0012909,-0.0114197,0.00553419,0.000249063,0.2504,0.0169678,1.33588,0.542935,-1.02001,-0.00238395
