wrench_my.txt,wrench_mx.txt,wrench_fy.txt,proportionalf_2.txt,proportionalf_4.txt,integralf_1.txt,integralf_4.txt,proportionalf_3.txt,proportionalf_1.txt,integralf_3.txt,integralf_2.txt,integralf_5.txt,wrench_fz.txt,wrench_mz.txt,proportionalf_5.txt,wrench_fx.txt,error_vel_2.txt,trq1.txt,vela3.txt,trq3.txt,accd4.txt,error_vel_3.txt,vela4.txt,posd5.txt,error_pos_5.txt,vela5.txt,error_vel_1.txt,posa2.txt,posa3.txt,error_vel_5.txt,trq5.txt,veld4.txt,accd5.txt,posa5.txt,veld5.txt,trq2.txt,posd2.txt,trq4.txt,posd4.txt,posd1.txt,posa1.txt,vela1.txt,error_pos_1.txt,vela2.txt,posa4.txt,veld2.txt,error_pos_4.txt,veld3.txt,error_pos_2.txt,posd3.txt,accd3.txt,error_vel_4.txt,veld1.txt,accd1.txt,accd2.txt,error_pos_3.txt,estimated_trqs_5.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,0.0,-0.0,0.0,-0.03015,0.0,0.0,-0.0,2.21239e-05,-2.21239e-05,-0.0,0.0,-0.0,0.0,0.00147493,-1.13068,0.0,0.0,4.42478e-05,0.00147493,-0.0,0.0,-0.014484,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00144495,0.00620165,-1.84901,0.317515,1.01506
,,,,,,,,,,,,,,,,-0.000601319,-0.0,-0.0010472,-0.26465,0.0186096,0.000927797,-0.0,3.76509e-05,-6.59686e-06,0.00147493,2.33205e-05,1.00692e-05,-4.71239e-05,0.000233038,-1.09936,9.32818e-05,0.0464909,4.42478e-05,0.00170796,-0.041808,2.33497e-07,0.021726,3.11329e-07,7.78323e-08,-0.0,-0.0,7.78323e-08,0.00067128,-0.0,6.99614e-05,3.11329e-07,-0.000119401,-9.83571e-06,-3.98502e-07,-0.0238203,9.32818e-05,2.33205e-05,0.0046524,0.0139572,4.67254e-05,-0.00103504,0.00417493,-2.62074,0.0105336,0.605903
,,,,,,,,,,,,,,,,-0.0017354,-0.0,-0.0188496,-0.36515,0.0369394,0.0183743,0.00147493,5.78212e-05,-8.55047e-06,0.00147493,9.28148e-05,4.02768e-05,-0.000282743,0.000927486,-1.08545,0.000371259,0.0922825,6.63717e-05,0.00240241,-0.083616,1.86097e-06,0.021726,2.48129e-06,6.20322e-07,-0.0,-0.0,6.20322e-07,0.00201384,4.42478e-05,0.000278445,-4.17665e-05,-0.000475212,-3.84159e-05,-3.17605e-06,-0.0472824,-0.00110367,9.28148e-05,0.00923484,0.0277045,0.000279567,-0.00102647,-0.00668383,-2.96976,-0.133874,0.36872
,,,,,,,,,,,,,,,,-0.00206177,-0.0,-0.0439823,-0.3886,0.0549907,0.0429184,0.00442478,8.7214e-05,2.08423e-05,-0.0,0.000207785,7.04845e-05,-0.000816814,0.0035513,-1.06109,0.000831141,0.137379,6.63717e-05,0.0035513,0.005226,6.25715e-06,0.03621,8.34286e-06,2.08572e-06,-0.0,-0.0,2.08572e-06,0.00268512,6.63717e-05,0.000623356,-5.80288e-05,-0.00106386,-6.42273e-05,-1.06789e-05,-0.0703881,-0.00359364,0.000207785,0.0137477,0.041243,0.000806135,0.000794869,-0.0152658,-3.67259,-0.500073,-0.169829
,,,,,,,,,,,,,,,,-0.00158251,-0.0,-0.0816814,-0.4154,0.072765,0.0797996,0.00442478,0.000130339,4.18432e-05,0.00147493,0.000367537,9.06229e-05,-0.00175929,0.00367275,-1.02978,0.00147015,0.181782,8.84956e-05,0.00514768,0.114972,1.47759e-05,0.032589,1.97012e-05,4.9253e-06,-0.0,-0.0,4.9253e-06,0.00268512,0.000110619,0.00110261,-9.09183e-05,-0.00188179,-7.5847e-05,-2.52175e-05,-0.0931392,-0.00295463,0.000367537,0.0181912,0.0545737,0.00173407,-0.000448747,-0.023218,-2.71537,-0.156762,0.237116
,,,,,,,,,,,,,,,,0.00104286,-0.0,-0.0973894,-0.4422,0.0902637,0.0944639,0.00147493,0.000191636,8.10167e-05,0.00147493,0.000571381,0.000100692,-0.00274889,0.00570972,-1.00195,0.00228552,0.225498,0.000110619,0.00718465,0.172458,2.87503e-05,0.03621,3.83337e-05,9.58344e-06,-0.0,-0.0,9.58344e-06,0.00067128,0.000154867,0.00171414,-0.000116534,-0.00292547,-7.19418e-05,-4.90672e-05,-0.115538,0.000810596,0.000571381,0.0225659,0.0676978,0.00269983,-0.00211777,-0.0109179,-1.97773,0.28076,0.896643
,,,,,,,,,,,,,,,,0.00245588,-0.0,-0.101578,-0.4891,0.107488,0.0973868,0.00442478,0.000275478,0.000142734,-0.0,0.000818627,0.000100692,-0.00376991,0.00965535,-0.991515,0.00327451,0.268528,0.000132743,0.00965535,0.214266,4.94928e-05,0.039831,6.59904e-05,1.64976e-05,-0.0,-0.0,1.64976e-05,-0.0,0.000176991,0.00245588,-0.000111001,-0.00419137,-5.11993e-05,-8.44677e-05,-0.137585,-0.00115027,0.000818627,0.026872,0.0806161,0.00368544,-0.000731604,-0.0010232,-2.29056,0.0676432,0.640392
,,,,,,,,,,,,,,,,0.00332578,-0.0,-0.109956,-0.4891,0.12444,0.10428,0.00147493,0.000386166,0.000253423,0.00147493,0.00110859,0.000110761,-0.00483805,0.011078,-0.967162,0.00443438,0.310876,0.000132743,0.0125529,0.271752,7.82951e-05,0.043452,0.000104394,2.60984e-05,-0.0,-0.0,2.60984e-05,-0.0,0.000199115,0.00332578,-9.47215e-05,-0.005676,-3.24661e-05,-0.000133624,-0.159283,0.00295945,0.00110859,0.0311099,0.0933298,0.00470443,-0.00154872,0.00344583,-2.10132,0.207248,0.858283
,,,,,,,,,,,,,,,,0.00365052,-0.0,-0.116239,-0.51255,0.14112,0.108863,0.00147493,0.000527937,0.000373069,0.00147493,0.0014406,0.000110761,-0.00601615,0.0143957,-0.946288,0.0057624,0.352547,0.000154867,0.0158706,0.303108,0.000116429,0.039831,0.000155238,3.88096e-05,-0.0,-0.0,3.88096e-05,0.00067128,0.000243363,0.0043218,-8.81244e-05,-0.00737587,5.66752e-06,-0.000198705,-0.180634,0.00428747,0.0014406,0.03528,0.10584,0.00581744,-0.00132247,-0.00822416,-2.36583,0.122172,0.699712
,,,,,,,,,,,,,,,,0.00477063,-0.0,-0.128805,-0.51925,0.15753,0.119518,0.00442478,0.000704956,0.000527965,0.00147493,0.00181397,0.00012083,-0.00744557,0.0181267,-0.914977,0.00725588,0.393543,0.000176991,0.0196016,0.324012,0.000165145,0.039831,0.000220193,5.50483e-05,-0.0,-0.0,5.50483e-05,0.00067128,0.000265487,0.00544191,-4.52937e-05,-0.00928752,4.43143e-05,-0.000281847,-0.201639,0.0028311,0.00181397,0.0393826,0.118148,0.00716373,-0.00128545,-0.00390194,-2.49249,-0.0204879,0.514046
