wrench_mz.txt,wrench_fx.txt,wrench_fy.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_5.txt,wrench_fz.txt,integralf_4.txt,wrench_my.txt,integralf_1.txt,proportionalf_3.txt,wrench_mx.txt,proportionalf_1.txt,integralf_3.txt,integralf_5.txt,proportionalf_4.txt,accd5.txt,veld3.txt,vela3.txt,error_vel_2.txt,posd1.txt,veld5.txt,posd2.txt,trq2.txt,vela2.txt,error_pos_3.txt,posa4.txt,accd4.txt,posa1.txt,posd3.txt,trq3.txt,trq5.txt,posd4.txt,posa3.txt,accd2.txt,vela5.txt,error_pos_2.txt,trq4.txt,vela1.txt,error_vel_4.txt,accd1.txt,accd3.txt,veld2.txt,vela4.txt,error_vel_3.txt,posa5.txt,error_pos_1.txt,error_pos_5.txt,trq1.txt,error_vel_5.txt,posd5.txt,veld4.txt,veld1.txt,error_vel_1.txt,posa2.txt,error_pos_4.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_2.txt,estimated_trqs_3.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00147493,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.01005,-1.09241,0.0,0.0,0.0,-0.0,0.0,-0.014484,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,4.42478e-05,0.0,-2.21239e-05,-0.0,0.00147493,2.21239e-05,0.0,0.0,0.0,-0.0,0.0,0.319072,-0.00142892,0.988502,-1.8181,0.000314225
,,,,,,,,,,,,,,,,0.0464909,-6.06332e-05,0.0,6.99614e-05,7.78323e-08,0.00170796,2.33497e-07,-0.031356,-0.0,4.69215e-05,-0.0,0.00744384,-0.0,-2.02364e-07,-0.24455,-1.06457,1.24532e-07,-4.71239e-05,0.0139572,0.00147493,2.33497e-07,0.007242,-0.0,3.73127e-05,0.0046524,-0.0120962,6.99614e-05,-0.0,-6.06332e-05,4.42478e-05,7.78323e-08,-6.59686e-06,-0.0,0.000233038,3.76509e-05,3.73127e-05,2.33205e-05,2.33205e-05,-0.0,1.24532e-07,0.135629,-0.00173573,0.75812,-2.26106,0.00216122
,,,,,,,,,,,,,,,,0.0922825,-0.000241319,-0.00942478,-0.000392836,6.20322e-07,0.00240241,1.86097e-06,-0.067938,0.00067128,0.000249715,2.21239e-05,0.0147758,-0.0,-1.61284e-06,-0.34505,-1.04022,9.92515e-07,-0.000251327,0.0277045,-0.0,-3.84159e-05,0.021726,-0.0,0.000148504,0.00923484,-0.0240106,0.000278445,-0.0,0.00918346,6.63717e-05,6.20322e-07,-8.55047e-06,-0.0,0.00240241,5.78212e-05,0.000148504,9.28148e-05,9.28148e-05,4.02768e-05,-2.11314e-05,0.237157,-0.00134206,1.00387,-2.2885,0.0227154
,,,,,,,,,,,,,,,,0.137379,-0.000540242,-0.0230383,-0.00340433,2.08572e-06,0.0035513,6.25715e-06,0.047034,0.00402768,0.000638604,6.63717e-05,0.0219963,-0.0,-5.42286e-06,-0.4154,-1.02283,3.33715e-06,-0.000644026,0.041243,0.00147493,-7.42965e-05,0.032589,-0.0,-0.00409232,0.0137477,-0.035744,0.000623356,0.00442478,0.0224981,8.84956e-05,2.08572e-06,-1.28161e-06,-0.0,0.00207637,8.7214e-05,0.000332456,0.000207785,0.000207785,8.05537e-05,-6.30345e-05,-0.386745,0.000158157,-0.0585371,-3.26276,-0.021432
,,,,,,,,,,,,,,,,0.181782,-0.000955598,-0.0502655,-0.00158251,4.9253e-06,0.00514768,1.47759e-05,0.099294,0.00268512,0.0013852,8.84956e-05,0.029106,-0.0,-1.28058e-05,-0.36515,-0.998473,7.88048e-06,-0.00139801,0.0545737,0.00147493,-8.59162e-05,0.032589,-0.0,-0.000886866,0.0181912,-0.0472973,0.00110261,0.00147493,0.0493099,8.84956e-05,4.9253e-06,4.18432e-05,-0.005226,0.00367275,0.000130339,0.00058806,0.000367537,0.000367537,0.000100692,-8.06151e-05,-0.359349,-3.5987e-06,0.020093,-3.45317,-0.0168482
,,,,,,,,,,,,,,,,0.225498,-0.00148559,-0.084823,-0.00097098,9.58344e-06,0.00718465,2.87503e-05,0.15678,0.00268512,0.00234699,0.000132743,0.0361055,-0.0,-2.49169e-05,-0.3618,-0.984557,1.53335e-05,-0.0023719,0.0676978,0.00147493,-8.2011e-05,0.032589,-0.0,-0.00351057,0.0225659,-0.0586714,0.00171414,0.00442478,0.0833374,0.000110619,9.58344e-06,8.10167e-05,-0.005226,0.00570972,0.000191636,0.000914209,0.000571381,0.000571381,0.000110761,-0.00011741,-0.310471,-0.000427041,-0.0181921,-3.13505,-0.0363623
,,,,,,,,,,,,,,,,0.268528,-0.00212843,-0.109956,0.00245588,1.64976e-05,0.00965535,4.94928e-05,0.203814,-0.0,0.00356994,0.000176991,0.0429952,-0.0,-4.28937e-05,-0.43215,-0.942809,2.63961e-05,-0.00361283,0.0806161,-0.0,-6.12685e-05,0.032589,-0.0,-0.00311497,0.026872,-0.0698673,0.00245588,0.00442478,0.107827,0.000132743,1.64976e-05,0.000142734,-0.005226,0.00965535,0.000275478,0.0013098,0.000818627,0.000818627,0.000110761,-0.000150595,0.0447253,-0.000668859,0.607897,-2.34228,-0.00148164
,,,,,,,,,,,,,,,,0.310876,-0.00288234,-0.119381,0.00332578,2.60984e-05,0.0125529,7.82951e-05,0.256074,-0.0,0.00483303,0.000199115,0.0497759,-0.0,-6.78558e-05,-0.51255,-0.918456,4.17574e-05,-0.00490088,0.0933298,0.00147493,-3.24661e-05,0.032589,-0.0,0.000298824,0.0311099,-0.0808858,0.00332578,0.00147493,0.116498,0.000154867,2.60984e-05,0.000231299,-0.005226,0.011078,0.000386166,0.00177375,0.00110859,0.00110859,0.000110761,-0.000157358,0.256413,-0.00170497,0.919316,-2.08864,0.000555302
,,,,,,,,,,,,,,,,0.352547,-0.00374556,-0.126711,0.00365052,3.88096e-05,0.0158706,0.000116429,0.282204,0.00067128,0.00604091,0.000243363,0.056448,-0.0,-0.000100905,-0.61975,-0.90454,6.20954e-05,-0.00614181,0.10584,0.00147493,-4.40169e-06,0.028968,-0.0,-0.00211982,0.03528,-0.091728,0.0043218,0.00442478,0.122965,0.000154867,3.88096e-05,0.000373069,-0.005226,0.0143957,0.000527937,0.00230496,0.0014406,0.0014406,0.00012083,-0.000181267,0.253179,-0.00161325,0.874552,-1.84474,-0.00359677
,,,,,,,,,,,,,,,,0.393543,-0.00471632,-0.125664,0.00544191,5.50483e-05,0.0196016,0.000165145,0.303108,-0.0,0.00728674,0.000265487,0.0630121,-0.0,-0.000143125,-0.6365,-0.880187,8.80772e-05,-0.00742987,0.118148,0.00147493,3.42451e-05,0.025347,-0.0,0.00142742,0.0393826,-0.102395,0.00544191,0.00147493,0.120947,0.000176991,5.50483e-05,0.000527965,-0.010452,0.0181267,0.000704956,0.00290235,0.00181397,0.00181397,0.0001309,-0.000177409,0.258334,-0.00171623,0.921658,-2.08579,0.000410213
