integralf_4.txt,wrench_my.txt,proportionalf_2.txt,wrench_mz.txt,proportionalf_1.txt,integralf_1.txt,wrench_fy.txt,wrench_fx.txt,wrench_mx.txt,proportionalf_5.txt,wrench_fz.txt,proportionalf_3.txt,integralf_5.txt,integralf_2.txt,proportionalf_4.txt,integralf_3.txt,trq5.txt,posa1.txt,accd4.txt,veld2.txt,trq3.txt,trq4.txt,error_pos_5.txt,veld5.txt,error_vel_1.txt,accd5.txt,vela2.txt,posa4.txt,error_pos_4.txt,posa2.txt,trq2.txt,error_vel_3.txt,error_vel_5.txt,vela3.txt,error_pos_3.txt,posa3.txt,vela4.txt,veld3.txt,error_pos_2.txt,posd3.txt,veld1.txt,error_pos_1.txt,accd2.txt,posd1.txt,accd3.txt,vela1.txt,trq1.txt,vela5.txt,error_vel_4.txt,veld4.txt,posd2.txt,error_vel_2.txt,posd5.txt,posd4.txt,accd1.txt,posa5.txt,estimated_trqs_3.txt,estimated_trqs_4.txt,estimated_trqs_2.txt,estimated_trqs_5.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,-1.11328,-0.0,0.0,0.0,0.19765,-0.333132,-2.21239e-05,0.0,0.0,0.0,-0.0,4.42478e-05,0.0,-0.0,-0.005226,-0.0010472,-0.00147493,0.0,0.0,-3.14159e-05,-0.0,-0.0010472,0.0,-3.14159e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.02613,0.00147493,0.00147493,0.00147493,0.0,0.0,2.21239e-05,4.42478e-05,0.0,4.42478e-05,-2.00344,0.249418,0.918904,-0.00204469,0.00429411
,,,,,,,,,,,,,,,,-1.08197,-0.0,0.00741047,6.99614e-05,-0.03685,-0.293301,-2.21067e-05,5.15839e-06,2.33205e-05,0.00102909,0.00067128,6.63717e-05,-7.25066e-06,1.00692e-05,-0.020904,0.00308108,5.15839e-06,-0.00418879,3.64499e-05,-7.85398e-05,-0.0,-0.00110771,-9.83571e-06,-4.20899e-05,2.33205e-05,7.78323e-08,0.0139572,7.78323e-08,-0.0120725,-0.0,-0.020904,-0.0,0.00151207,0.00151207,2.33497e-07,-0.000601319,2.21411e-05,5.9121e-05,0.0046524,4.42478e-05,-2.24628,0.253405,0.965248,-0.0017488,0.00900613
,,,,,,,,,,,,,,,,-1.05414,-0.0,0.0147094,0.000278445,-0.06365,-0.267954,-4.41106e-05,2.05302e-05,9.28148e-05,0.00204271,0.00268512,0.000132743,-5.8009e-05,5.0346e-05,-0.031356,0.0154671,2.05302e-05,-0.0167552,0.000228774,-0.000282743,0.0058997,-0.00128804,-4.84851e-05,-5.39696e-05,9.28148e-05,6.20322e-07,0.0277045,6.20322e-07,-0.0239635,-0.0,-0.020904,-0.0,-0.00427694,0.00162276,1.86097e-06,-0.00240668,2.22611e-05,7.47344e-05,0.00923484,6.63717e-05,-2.22105,0.143468,0.801985,-0.000981359,0.0107235
,,,,,,,,,,,,,,,,-1.03326,-0.0,0.0218975,0.000623356,-0.1139,-0.249849,-4.37864e-05,4.59612e-05,0.000207785,0.00304093,0.00402768,0.000176991,-8.51734e-05,9.06229e-05,-0.067938,0.0235464,-0.00142896,-0.0251327,0.000465827,-0.000534071,0.00442478,-0.00158638,-8.43657e-05,-6.82441e-05,0.000207785,2.08572e-06,0.041243,2.08572e-06,-0.0356738,-0.0,-0.020904,0.00147493,-0.00261889,0.00180589,6.25715e-06,-0.00340433,2.25852e-05,9.18177e-05,0.0137477,6.63717e-05,-2.55179,-0.0485264,0.477163,-0.000800685,-0.00318268
,,,,,,,,,,,,,,,,-1.00891,-0.0,0.0289752,0.00110261,-0.15075,-0.242607,-6.52822e-05,8.12977e-05,0.000367537,0.00402383,0.00402768,0.000199115,-8.80251e-05,0.00012083,0.041808,0.0367454,-0.00139363,-0.0387463,0.000824977,-0.000911062,0.00147493,-0.00200092,-0.000106055,-8.60845e-05,0.000367537,4.9253e-06,0.0545737,4.9253e-06,-0.0472044,-0.0,-0.0,0.00147493,0.00058542,0.00206035,1.47759e-05,-0.00292507,2.32133e-05,0.00011109,0.0181912,8.84956e-05,-3.31193,-0.401127,-0.173881,-0.000156908,-0.0436033
,,,,,,,,,,,,,,,,-0.991515,-0.0,0.035943,0.00171414,-0.1474,-0.213639,-6.42519e-05,0.000126387,0.000571381,0.00499149,0.00067128,0.000221239,-8.79802e-05,0.0001309,0.109746,0.0644908,0.000126387,-0.0670206,0.0015564,-0.00166504,0.00147493,-0.00252987,-0.000102149,-0.000108644,0.000571381,9.58344e-06,0.0676978,9.58344e-06,-0.0585561,-0.0,0.005226,-0.0,0.000910102,0.00238503,2.87503e-05,0.00104286,2.42437e-05,0.000133259,0.0225659,8.84956e-05,-2.71336,-0.0882561,0.383082,-0.000305021,-0.0135088
,,,,,,,,,,,,,,,,-0.97412,-0.0,0.0428016,0.00245588,-0.1541,-0.206397,-8.48464e-05,0.000181077,0.000818627,0.00594398,-0.0,0.000243363,-8.43419e-05,0.0001309,0.162006,0.0816516,-0.00129385,-0.084823,0.0023448,-0.00248186,0.00147493,-0.00317145,-8.14069e-05,-0.000137057,0.000818627,1.64976e-05,0.0806161,1.64976e-05,-0.0697298,-0.0,0.005226,0.00147493,0.00130392,0.00277884,4.94928e-05,0.00245588,2.57731e-05,0.000159021,0.026872,0.000110619,-1.79488,0.341992,1.04942,-0.00190897,0.00626962
,,,,,,,,,,,,,,,,-0.956725,-0.0,0.0495516,0.00332578,-0.2479,-0.199155,-0.000104847,0.000245216,0.00110859,0.00688139,0.00067128,0.000287611,-9.85482e-05,0.000140969,0.20904,0.0808991,-0.00122971,-0.084823,0.00322048,-0.00339292,0.00147493,-0.00392388,-6.26738e-05,-0.000172442,0.00110859,2.60984e-05,0.0933298,2.60984e-05,-0.0807266,-0.0,0.005226,0.00147493,0.00176577,0.0032407,7.82951e-05,0.0026545,2.78967e-05,0.000189062,0.0311099,0.000132743,-3.05954,-0.19705,0.219393,-0.000820554,-0.0204485
,,,,,,,,,,,,,,,,-0.928893,-0.0,0.0561934,0.0043218,-0.39865,-0.18105,-0.000102035,0.000318655,0.0014406,0.00780379,-0.0,0.000331858,-0.0001078,0.000140969,0.250848,0.106218,0.000318655,-0.111003,0.00438653,-0.00460243,0.00442478,-0.00478539,-2.45401e-05,-0.000215899,0.0014406,3.88096e-05,0.10584,3.88096e-05,-0.0915472,-0.0,-0.0,-0.0,-0.000655265,0.00376951,0.000116429,0.0043218,3.07084e-05,0.000224058,0.03528,0.000132743,-1.60714,0.413288,1.12181,-0.0016949,0.00206876
,,,,,,,,,,,,,,,,-0.90454,-0.0,0.0627276,0.00544191,-0.4489,-0.177429,-0.000120567,0.000401242,0.00181397,0.00871125,-0.0,0.000376106,-0.000111434,0.000140969,0.276978,0.10106,-0.00107368,-0.106814,0.00535494,-0.00562345,0.00442478,-0.00575424,2.41759e-05,-0.000268508,0.00181397,5.50483e-05,0.118148,5.50483e-05,-0.102193,-0.0,-0.0,0.00147493,-6.05709e-05,0.00436421,0.000165145,0.00544191,3.43003e-05,0.000264672,0.0393826,0.000154867,-1.7593,0.380286,1.09952,-0.0020317,0.0050513
