wrench_mz.txt,wrench_my.txt,wrench_fz.txt,wrench_fx.txt,integralf_3.txt,integralf_1.txt,proportionalf_5.txt,integralf_5.txt,wrench_mx.txt,proportionalf_3.txt,proportionalf_1.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_4.txt,wrench_fy.txt,integralf_4.txt,posd4.txt,accd1.txt,error_vel_5.txt,veld5.txt,trq5.txt,posd2.txt,error_vel_3.txt,posa1.txt,error_vel_4.txt,veld4.txt,trq4.txt,veld3.txt,posa2.txt,error_pos_3.txt,posd1.txt,accd2.txt,error_pos_4.txt,veld2.txt,error_vel_2.txt,posa4.txt,error_vel_1.txt,trq2.txt,posd3.txt,error_pos_2.txt,veld1.txt,vela4.txt,vela2.txt,error_pos_5.txt,posa3.txt,posa5.txt,error_pos_1.txt,trq1.txt,vela5.txt,vela3.txt,vela1.txt,accd3.txt,accd4.txt,posd5.txt,accd5.txt,trq3.txt,estimated_trqs_5.txt,estimated_trqs_4.txt,estimated_trqs_1.txt,estimated_trqs_3.txt,estimated_trqs_2.txt
,,,,,,,,,,,,,,,,2.21239e-05,0.0,0.00147493,0.00147493,-0.967162,0.0,0.0,-0.0,0.00147493,0.00147493,-0.311406,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21239e-05,0.0,-0.0,-1.5708e-05,0.0,0.0,-0.0,-0.0,-2.21239e-05,-1.5708e-05,4.42478e-05,0.0,-0.005226,-0.0,0.0,-0.0,0.0,0.0,2.21239e-05,0.0,0.26465,-0.00147598,0.332252,-0.00131601,-1.83757,1.00294
,,,,,,,,,,,,,,,,3.69504e-05,0.0139572,4.99319e-06,0.00147992,-0.942809,7.78323e-08,0.00100056,-0.0,2.31542e-05,0.00149808,-0.278817,-4.66402e-05,-0.0,4.69682e-05,2.33497e-07,0.0046524,-2.94212e-05,2.33205e-05,2.33205e-05,6.63717e-05,6.99614e-05,-0.015678,-1.58636e-05,7.78323e-08,6.99614e-05,0.00147493,-0.0,-7.35797e-06,-6.28319e-05,4.42478e-05,2.33497e-07,-0.005226,0.00147493,-0.0010472,-0.0,-0.00930466,0.00461923,3.68898e-05,0.000996127,-0.02345,-0.00163983,0.217447,0.0102103,-2.27835,0.918668
,,,,,,,,,,,,,,,,5.22383e-05,0.0277045,1.98724e-05,0.0014948,-0.925414,6.20322e-07,0.0134279,-0.0,-0.00433263,0.00156708,-0.260712,-0.000185627,4.02768e-05,0.000218671,1.86097e-06,0.00923484,-8.0505e-05,9.28148e-05,-0.00192103,0.000132743,0.000278445,-0.05226,-1.69486e-05,-3.96565e-05,0.000278445,0.0058997,0.00201384,-1.46164e-05,-0.000235619,6.63717e-05,1.86097e-06,-0.0,0.00147493,-0.0136136,-0.0,-0.0184694,0.00916895,5.17552e-05,0.00197722,-0.07705,-0.00152966,0.185972,0.0230417,-2.17976,0.919627
,,,,,,,,,,,,,,,,6.84425e-05,0.041243,4.44877e-05,0.00151941,-0.911498,2.08572e-06,0.0215756,-0.0,-0.00274355,0.00168123,-0.235365,-0.000415564,8.05537e-05,0.000467068,6.25715e-06,0.0137477,-0.000108549,0.000207785,-0.00449118,0.000176991,0.000623356,0.005226,-1.98793e-05,-7.84679e-05,0.000623356,0.00442478,0.00469896,-2.16773e-05,-0.000486947,8.84956e-05,6.25715e-06,-0.0,0.00147493,-0.0219911,-0.0,-0.0274949,0.0136495,6.68182e-05,0.00294335,-0.11725,-0.00100238,0.0249082,-0.0114723,-2.45678,0.543827
,,,,,,,,,,,,,,,,8.60111e-05,0.0545737,7.86898e-05,0.00155362,-0.890624,4.9253e-06,0.0338225,-0.0,-0.00258494,0.00183984,-0.206397,-0.000735063,0.00012083,0.000869795,1.47759e-05,0.0181912,-0.000135228,0.000367537,-0.00366015,0.000221239,0.00110261,0.094068,-2.55584e-05,-0.000115905,0.00110261,0.00442478,0.00402768,-2.8444e-05,-0.000895354,0.000110619,1.47759e-05,-0.0,0.00147493,-0.0345575,-0.0,-0.0363819,0.0180612,8.21755e-05,0.0038946,-0.134,-0.000444585,-0.150798,-0.0385244,-2.74514,0.180079
,,,,,,,,,,,,,,,,0.000105385,0.0676978,0.00012233,0.00159726,-0.873229,9.58344e-06,0.0501699,-0.0,-0.00238255,0.00204222,-0.206397,-0.00114274,0.00012083,0.00137884,2.87503e-05,0.0225659,-0.000137978,0.000571381,-9.98999e-05,0.000243363,0.00171414,0.151554,-3.48745e-05,-0.000111247,0.00171414,0.00442478,0.00067128,-3.48213e-05,-0.00141372,0.000132743,2.87503e-05,-0.0,0.00147493,-0.0513127,-0.0,-0.0451311,0.0224045,9.7922e-05,0.00483104,-0.134,-0.00161383,0.113113,-0.00643435,-2.15915,0.676637
,,,,,,,,,,,,,,,,0.000126999,0.0806161,0.00165019,0.00165019,-0.862792,1.64976e-05,0.0549114,-0.0,0.000812776,0.0022877,-0.188292,-0.00163723,0.00012083,0.00194621,4.94928e-05,0.026872,-0.000160611,0.000818627,0.000818627,0.000287611,0.00245588,0.18291,-4.87026e-05,-0.000104333,0.00245588,0.00147493,-0.0,-4.07157e-05,-0.00199491,0.000154867,4.94928e-05,-0.0,-0.0,-0.0565487,-0.0,-0.0537432,0.0266796,0.000114152,0.00575275,-0.134,-0.00103533,0.164488,-0.00653751,-2.26747,0.760956
,,,,,,,,,,,,,,,,0.000151281,0.0933298,0.000237337,0.00171226,-0.83496,2.60984e-05,0.0648035,-0.0,-0.00184919,0.00257559,-0.166566,-0.00221715,0.00012083,0.00268099,7.82951e-05,0.0311099,-0.000158454,0.00110859,0.00110859,0.000309734,0.00332578,0.214266,-6.79039e-05,-9.47321e-05,0.00332578,0.00442478,-0.0,-4.60349e-05,-0.00274889,0.000176991,7.82951e-05,-0.0,0.00147493,-0.0670206,-0.0,-0.0622189,0.030887,0.000130956,0.00665981,-0.1273,-0.000858149,-0.0449221,-0.00132771,-2.67082,0.501503
,,,,,,,,,,,,,,,,0.00017865,0.10584,0.000308409,0.00178334,-0.814086,3.88096e-05,0.0819418,-0.0,-0.00151956,0.00290522,-0.159324,-0.00288115,0.0001309,0.00351951,0.000116429,0.03528,-0.000197456,0.0014406,0.00076932,0.000376106,0.0043218,0.256074,-9.33259e-05,-9.20901e-05,0.0043218,0.00442478,0.00067128,-5.06882e-05,-0.00361283,0.000199115,0.000116429,-0.0,0.00147493,-0.084823,-0.0,-0.0705589,0.0350269,0.000148427,0.00755228,-0.1675,-0.00130962,0.131327,-0.0116933,-2.26688,0.68905
,,,,,,,,,,,,,,,,0.000209522,0.118148,0.000388334,0.00186326,-0.80017,5.50483e-05,0.0906199,-0.0,-0.0026238,0.00327591,-0.148461,-0.00362788,0.0001309,0.0044138,0.000165145,0.0393826,-0.000232956,0.00181397,0.00181397,0.000442478,0.00544191,0.292656,-0.000125803,-7.58514e-05,0.00544191,0.0058997,-0.0,-3.24626e-05,-0.0045396,0.000199115,0.000165145,0.005226,0.00147493,-0.0942478,-0.0,-0.0787639,0.0390998,0.000166652,0.00843025,-0.29815,-0.00168748,0.246349,-0.00150929,-2.16037,0.900845
,,,,,,,,,,,,,,,,0.000244303,0.130254,0.000476966,0.00195189,-0.772338,7.52246e-05,0.0992166,-0.0,-0.00663749,0.00368699,-0.141219,-0.00445598,0.000140969,0.0054573,0.000225674,0.043418,-0.000308794,0.00222803,0.00155675,0.000553097,0.00668408,0.303108,-0.000166155,-6.57443e-05,0.00668408,0.0103245,0.00067128,-3.55179e-05,-0.00562345,0.000221239,0.000225674,0.005226,0.00147493,-0.103673,-0.0,-0.0868346,0.043106,0.000185721,0.00929379,-0.43885,-0.0018452,0.318491,-0.0119246,-1.94291,0.945538
,,,,,,,,,,,,,,,,0.000283394,0.14216,0.000574162,0.00204909,-0.758422,9.97422e-05,0.102497,-0.0,-0.0106115,0.0041378,-0.137598,-0.00536413,0.000140969,0.0064607,0.000299227,0.0473866,-0.000446694,0.00268211,0.00268211,0.000730088,0.00804632,0.360594,-0.000215189,-4.12267e-05,0.00804632,0.0147493,-0.0,-3.7644e-05,-0.00667588,0.000243363,0.000299227,0.005226,0.00147493,-0.107861,-0.0,-0.0947717,0.0470458,0.000205719,0.010143,-0.51925,-0.00302833,0.729633,0.00458284,-1.16611,1.57863
,,,,,,,,,,,,,,,,0.000327189,0.153866,0.000679778,0.0021547,-0.737548,0.000128998,0.0920856,-0.0,-0.0174962,0.00462769,-0.141219,-0.00635098,0.000151038,0.00750174,0.000386994,0.0512887,-0.00069051,0.00317554,0.00250426,0.0010177,0.00952661,0.39195,-0.0002737,-2.20402e-05,0.00952661,0.0221239,0.00067128,-6.08797e-05,-0.00777544,0.000287611,0.000386994,0.015678,0.00147493,-0.0984366,-0.0,-0.102576,0.0509195,0.000226731,0.0109779,-0.6231,-0.00221561,0.404424,-0.0240243,-2.2696,1.0521
,,,,,,,,,,,,,,,,0.000376076,0.165374,0.000793672,0.0022686,-0.723632,0.000163382,0.108824,-0.0,-0.036142,0.00515598,-0.162945,-0.0074152,0.000161107,0.00856395,0.000490146,0.0551248,-0.00110622,0.00370766,0.00303638,0.0014823,0.011123,0.412854,-0.000342467,2.27461e-06,0.011123,0.0412979,0.00067128,-6.0894e-05,-0.00890642,0.000309734,0.000490146,0.010452,0.00147493,-0.116239,-0.0,-0.110248,0.0547276,0.000248841,0.0117986,-0.6566,-0.00393847,1.03318,-0.0124144,-0.895899,1.9429
,,,,,,,,,,,,,,,,0.000430435,0.176685,0.000915703,0.00239063,-0.702758,0.000203278,0.0982587,-0.0,-0.0562249,0.00572202,-0.166566,-0.0085555,0.000171177,0.00948947,0.000609834,0.0588952,-0.00169346,0.00427781,0.00360653,0.00212389,0.0128334,0.438984,-0.000422257,3.21014e-05,0.0128334,0.0619469,0.00067128,-5.97284e-05,-0.00991172,0.000331858,0.000609834,0.010452,0.00147493,-0.106814,-0.0,-0.117788,0.0584704,0.00027213,0.0126052,-0.74035,-0.00193234,0.368645,-0.00100772,-1.58424,1.03963
,,,,,,,,,,,,,,,,0.00049064,0.1878,0.00104573,0.00252065,-0.681884,0.000249063,0.0907604,-0.0,-0.0526719,0.00632517,-0.162945,-0.00977054,0.000181246,0.0104346,0.000747188,0.0626001,-0.00218635,0.00488535,0.00488535,0.00267699,0.014656,0.454662,-0.000513826,6.78171e-05,0.014656,0.058997,-0.0,-3.51786e-05,-0.0109485,0.000331858,0.000747188,-0.0,0.00147493,-0.100531,-0.0,-0.125198,0.0621482,0.00029668,0.0133977,-0.79395,-0.000956067,0.0231649,0.0170954,-2.07611,0.636361
,,,,,,,,,,,,,,,,0.000557059,0.19872,0.00118361,0.00265854,-0.671447,0.000301107,0.0894719,-0.0,-0.0387579,0.00696477,-0.119493,-0.011059,0.000181246,0.0112573,0.000903322,0.06624,-0.00258453,0.0055296,0.00485832,0.00314159,0.0165888,0.475566,-0.000617913,0.000119861,0.0165888,0.0457227,0.00067128,-3.1413e-05,-0.0118752,0.000353982,0.000903322,-0.0,0.00147493,-0.100531,-0.0,-0.132478,0.0657613,0.000322569,0.0141763,-0.84755,-0.00236937,0.588475,0.0450318,-0.915826,1.40835
,,,,,,,,,,,,,,,,0.000630055,0.209446,0.00132921,0.00280413,-0.667968,0.000359775,0.0661202,1.00692e-05,-0.029233,0.00764018,-0.039831,-0.0124197,0.000191315,0.0118782,0.00107933,0.0698152,-0.0028434,0.00620993,0.00553865,0.00347345,0.0179585,0.517374,-0.000735247,0.00016846,0.0186298,0.0368732,0.00067128,-2.623e-05,-0.0126135,0.000376106,0.00106926,-0.0,0.00147493,-0.0785398,0.00067128,-0.139628,0.0693102,0.000349876,0.0149409,-1.1658,-0.00274693,0.647996,0.0049426,-0.489115,1.50714
,,,,,,,,,,,,,,,,0.00070998,0.219978,0.00148238,0.00295731,-0.66101,0.000425424,0.0301311,1.00692e-05,-0.0108233,0.00835076,0.03621,-0.0138512,0.000201384,0.0119983,0.00127627,0.0733261,-0.00287409,0.00692569,0.00625441,0.00358407,0.0207771,0.543504,-0.000866542,0.00022404,0.0207771,0.019174,0.00067128,-1.95529e-05,-0.0128648,0.00039823,0.0012662,-0.0,0.00147493,-0.0439823,-0.0,-0.14665,0.0727952,0.000378677,0.0156917,-1.47735,-0.00342958,0.953855,0.0411299,0.253692,1.9563
,,,,,,,,,,,,,,,,0.000797185,0.230319,0.001643,0.00311792,-0.636657,0.000498405,-0.0216354,1.00692e-05,0.00909587,0.00909587,0.057936,-0.0153522,0.000211453,0.0117581,0.00149521,0.076773,-0.00278689,0.00767624,0.00700496,0.00358407,0.0230287,0.57486,-0.0010125,0.000286951,0.0230287,-0.0,0.00067128,-1.13068e-05,-0.0127706,0.000420354,0.00148515,-0.0,0.00147493,0.00628319,-0.0,-0.153544,0.0762166,0.000409047,0.0164288,-1.64485,-0.00181673,0.31313,0.00173068,-1.78702,0.985429
,,,,,,,,,,,,,,,,0.000892011,0.240469,0.00181091,0.00328584,-0.62622,0.000579062,-0.024252,1.00692e-05,0.0113498,0.00987488,0.054315,-0.0169216,0.000221523,0.0115339,0.00173719,0.0801562,-0.00266994,0.00846094,0.00778966,0.00356195,0.0253828,0.595764,-0.00117381,0.00035754,0.0253828,-0.00147493,0.00067128,-1.41788e-06,-0.0127077,0.000442478,0.00172712,-0.0,0.00147493,0.00733038,-0.0,-0.16031,0.0795747,0.00044106,0.0171522,-1.70515,-0.00175639,0.267911,0.00838194,-2.04238,0.969186
,,,,,,,,,,,,,,,,0.000994793,0.250429,0.001986,0.00346092,-0.598388,0.000667735,-0.0196052,1.00692e-05,0.0106872,0.0106872,0.054315,-0.018558,0.000241661,0.0113566,0.00200321,0.0834762,-0.00256715,0.00927915,0.00726531,0.00356195,0.0278375,0.62712,-0.00135116,0.000426074,0.0278375,-0.0,0.00201384,1.01861e-05,-0.0127077,0.000464602,0.00199314,-0.0,0.00147493,0.0010472,-0.0,-0.16695,0.08287,0.000474788,0.017862,-1.67835,-0.0018012,0.303407,-0.000530611,-1.85822,0.966855
,,,,,,,,,,,,,,,,0.00110586,0.2602,0.00216811,0.00364304,-0.59143,0.000764755,-0.0202602,1.00692e-05,0.0115321,0.0115321,0.057936,-0.0202602,0.000261799,0.0111625,0.00229427,0.0867333,-0.00245608,0.0101303,0.00811641,0.00356195,0.0303908,0.658476,-0.00154519,0.000502956,0.0303908,-0.0,0.00201384,2.35762e-05,-0.0127077,0.000486726,0.0022842,-0.0,0.00147493,0.0,-0.0,-0.173464,0.0861028,0.000510302,0.0185583,-1.675,-0.00186329,0.326201,4.37178e-08,-1.80662,0.999376
